,Formula,Translation
0,"¬ ( ( Larger ( a , c ) ∧ Larger ( e , c ) ) → ¬ ( ¬ Large ( a ) ∧ ¬ Large ( e ) ) )","it is not the case that if a and e are larger than c , then it is not the case that a is not large and e is not large"
1,∃ v ( Dodec ( v ) ∧ Large ( v ) ),some dodecahedron is large
2,"∀ x ( LeftOf ( x , a ) → ¬ Cube ( x ) )","for all x , if x is to the left of a , then x is not a cube"
3,"∃ x ( Cube ( x ) ∧ Large ( x ) ∧ ∃ v ( Cube ( v ) ∧ Small ( v ) ∧ FrontOf ( x , v ) ) )","there is an element x such that x is a cube , x is large and there is an element v such that v is a cube , v is small and x is in front of v"
4,"∀ y ∀ x ( Cube ( y ) → ( ( Dodec ( x ) ∧ BackOf ( y , x ) ) → Smaller ( y , x ) ) )","for all y , for all x , if y is a cube , then if x is a dodecahedron and y is in back of x , then y is smaller than x"
5,"∀ x ( ( Small ( x ) ∧ Cube ( x ) ) → ∃ w BackOf ( x , w ) )","for all x , if x is small and x is a cube , then there is an element w such that x is in back of w"
6,"∀ y ∀ x ( ( Cube ( y ) ∧ Large ( y ) ∧ RightOf ( x , y ) ) → Small ( x ) )","for all y , for all x , if y is a cube , y is large and x is to the right of y , then x is small"
7,"∀ x ¬ ∃ y ( Cube ( x ) ∧ Cube ( y ) ∧ RightOf ( x , y ) )","for all x , it is not the case that there is an element y such that x is a cube , y is a cube and x is to the right of y"
8,∀ y ¬ ( Small ( y ) ∧ Dodec ( y ) ),"for all y , it is not the case that y is small and y is a dodecahedron"
9,"∀ x ∀ y ( ( Cube ( y ) ∧ LeftOf ( x , y ) ∧ Dodec ( x ) ) → Large ( x ) )","for all x , for all y , if y is a cube , x is to the left of y and x is a dodecahedron , then x is large"
10,∃ x ¬ Even ( a ) ∧ ¬ Small ( a ),there is an element x such that a is not even and a is not small
11,∃ x ∃ y ∃ x Pet ( a ),there is an element x such that there is an element y such that there is an element x such that a is a pet
12,"∀ x ∃ y Cube ( x ) ∧ ( ¬ SameShape ( a , b ) ∨ ∃ x Dodec ( x ) )","all these hold : \n\t• for all x , there is an element y such that x is a cube \n\t• a is not of the same shape as b or there is an element x such that x is a dodecahedron"
13,"¬ ( ( Large ( a ) → SameShape ( a , a ) ) → ( LeftOf ( b , b ) ∨ Small ( c ) ) )","it is not the case that if if a is large , then a is of the same shape as itself , then b is to the left of itself or c is small"
14,¬ Medium ( a ) → ( ( Medium ( a ) → Small ( a ) ) ∧ ∀ x Dodec ( x ) ),"if a is not medium , then all these hold : \n\t• if a is medium , then a is small \n\t• for all x , x is a dodecahedron"
15,"∃ x Medium ( x ) ∨ ( ¬ BackOf ( a , a ) ∧ ( Student ( a ) ∨ Medium ( b ) ) )",there is an element x such that x is medium or all these hold : \n\t• a is not in back of a \n\t• a is a student or b is medium
16,"( ( Adjoins ( a , a ) ∧ Larger ( a , a ) ) ∨ FrontOf ( a , a ) ) ∨ ∀ x Medium ( b )","at least one of these holds : \n\t• a is adjacent to itself and a is larger than itself , a is in front of itself \n\t• for all x , b is medium"
17,"Dodec ( a ) ∨ ∃ x ∀ x FrontOf ( x , a )","a is a dodecahedron or there is an element x such that for all x , x is in front of a"
18,( ( Tet ( a ) ∧ Prime ( a ) ) ∨ ∀ x Cube ( a ) ) ∨ ∀ x ( Dodec ( b ) ∧ Pet ( x ) ),"at least one of these holds : \n\t• a is a tetrahedron and a is a prime , for all x , a is a cube \n\t• for all x , b is a dodecahedron and x is a pet"
19,"¬ ( ( Large ( a ) ∨ Large ( a ) ) → ∀ x LeftOf ( b , c ) )","it is not the case that if a is large or large , then for all x , b is to the left of c"
20,"¬ ∃ x ( SameShape ( a , b ) → SameRow ( c , c ) )",it is not the case that there is an element x such that a is in the same shape as b and c is in the same row as itself
21,∀ x ( Tet ( x ) ∨ Prime ( a ) ) ∨ ∃ x ( Person ( x ) → Student ( a ) ),"for all x , x is a tetrahedron or a is a prime or there is an element x such that a is a student"
22,"∃ x ∀ y Larger ( x , a ) ∧ ∀ y ¬ Pet ( b )","there is an element x such that for all y , x is larger than a and there is an element x such that for all y , b is not a pet"
23,"∃ x ( ( ( SameShape ( x , a ) ∧ Tet ( x ) ) → Adjoins ( x , a ) )","for all x , if x is of the same shape as a, then x is adjacent to a"
24,"∃ x Cube ( x ) ( Person ( a ) → Adjoins ( x , a ) )",there is a cube such that a is a person or x is adjacent to a
