,Condition,Formula,Translation
0,GGC,"∃ x ∃ y ( Cube ( x ) ∧ Tet ( y ) ∧ ¬ ∃ u ( ¬ SameShape ( x , u ) ∧ ¬ SameShape ( y , u ) ) )","there is an element x such that there is an element y such that x is a cube , y is a tetrahedron and it is not the case that there is an element u such that x is not of the same shape as u and y is not of the same shape as u"
1,GGC,¬ ( Dodec ( d ) ∧ Small ( d ) ) → Small ( a ),"if it is not the case that d is a dodecahedron and d is small , then a is small"
2,GGC,¬ ∀ z ¬ ( Cube ( z ) ∧ Large ( z ) ),"it is not the case that for all z , it is not the case that z is a cube and z is large"
3,GGC,"FrontOf ( e , d ) ∨ ( Tet ( e ) ∧ Large ( e ) ∧ ¬ FrontOf ( e , d ) )","at least one of these holds : \n\t• e is in front of d \n\t• e is a tetrahedron , e is large and e is not in front of d"
4,GGC,∃ y ¬ ( Dodec ( y ) → ( Small ( y ) ∨ Large ( y ) ) ),"there is an element y such that it is not the case that if y is a dodecahedron , then y is small or large"
5,GGC,"∀ x ∀ y ( ¬ Cube ( x ) ∨ ¬ FrontOf ( y , x ) ∨ Small ( x ) )","for all x , for all y , x is not a cube , y is not in front of x or x is small"
6,GGC,"∀ x ( ( Dodec ( x ) ∧ ¬ ∃ z RightOf ( z , x ) ) → ∃ w LeftOf ( w , x ) )","for all x , if x is a dodecahedron and it is not the case that there is an element z such that z is to the right of x , then there is an element w such that w is to the left of x"
7,GGC,"¬ ∀ w ∀ y ( ( Tet ( w ) ∧ Tet ( y ) ) → SameCol ( w , y ) )","it is not the case that for all w , for all y , if w is a tetrahedron and y is a tetrahedron , then w is in the same column as y"
8,GGC,"∀ x ( Dodec ( x ) → ∀ y ( ( Cube ( y ) ∧ RightOf ( y , x ) ) → Large ( x ) ) )","for all dodecahedrons x , for all y , if y is a cube and y is to the right of x , then x is large"
9,GGC,"∀ x ∀ y ( Cube ( x ) → ( ( BackOf ( x , y ) ∧ Dodec ( y ) ) → Smaller ( x , y ) ) )","for all x , for all y , if x is a cube , then if x is in back of y and y is a dodecahedron , then x is smaller than y"
10,RG,"∃ x ( ¬ Even ( x ) → ( Small ( a ) ∧ FrontOf ( b , x ) ) )","there is an element x such that if x is not even , then a is small and b is in front of x"
11,RG,"∃ x ∀ x ( Adjoins ( x , a ) ∧ Dodec ( b ) )","there is an element x such that for all x , x is adjacent to a and b is a dodecahedron"
12,RG,∃ x ∀ x ¬ Prime ( x ),"there is an element x such that for all x , x is not a prime"
13,RG,"∃ x ( ∀ x SameShape ( a , a ) → ∃ x Small ( b ) )","there is an element x such that if for all x , a is of the same shape as itself , then there is an element x such that b is small"
14,RG,"Even ( a ) ∨ ( ∃ x Tet ( x ) ∧ ∃ y Larger ( y , y ) )",at least one of these holds : \n\t• a is even \n\t• there is an element x such that x is a tetrahedron and there is an element y such that y is larger than itself
15,RG,"∀ x ( ( SameRow ( a , x ) → Smaller ( b , x ) ) → ( LeftOf ( x , b ) ∨ Cube ( x ) ) )","for all x , if if a is in the same row as x , then b is smaller than x , then x is to the left of b or x is a cube"
16,RG,"( Even ( a ) → ∃ x Even ( x ) ) ∨ ( ∃ x Even ( x ) ∨ ( Cube ( b ) → RightOf ( b , b ) ) )","at least one of these holds : \n\t• if a is even , then there is an element x such that x is even , there is an element x such that x is even \n\t• if b is a cube , then b is to the right of itself"
17,RG,"∀ x ∃ y ( SameCol ( a , y ) ∨ Even ( b ) )","for all x , there is an element y such that a is in the same column as y or b is even"
18,RG,"∃ x ¬ ∃ y SameCol ( a , y )",there is an element x such that it is not the case that there is an element y such that a is in the same column as y
19,RG,( ∀ x Medium ( x ) ∨ ¬ Pet ( a ) ) → ¬ Person ( a ),"if for all x , x is medium or a is not a pet , then a is not a person"
20,Filler,"¬ ∃ x ( SameShape ( a , b ) → SameRow ( c , c ) )",it is not the case that there is an element x such that a is in the same shape as b and c is in the same row as itself
21,Filler,∀ x ( Tet ( x ) ∨ Prime ( a ) ) ∨ ∃ x ( Person ( x ) → Student ( a ) ),"for all x , x is a tetrahedron or a is a prime or there is an element x such that a is a student"
22,Filler,"∃ x ∀ y Larger ( x , a ) ∧ ∀ y ¬ Pet ( b )","there is an element x such that for all y , x is larger than a and there is an element x such that for all y , b is not a pet"
23,Filler,"∃ x ( ( ( SameShape ( x , a ) ∧ Tet ( x ) ) → Adjoins ( x , a ) )","for all x , if x is of the same shape as a, then x is adjacent to a"
24,Filler,"∃ x Cube ( x ) ( Person ( a ) → Adjoins ( x , a ) )",there is a cube such that a is a person or x is adjacent to a
