,Formula,Translation
0,∃ v ( ¬ Small ( v ) ∧ Dodec ( v ) ),there is an element v such that v is not small and v is a dodecahedron
1,∃ y ( ¬ Large ( y ) ∧ Dodec ( y ) ),there is an element y such that y is not large and y is a dodecahedron
2,"∃ x ∃ y ( Cube ( x ) ∧ Large ( x ) ∧ LeftOf ( x , b ) )","there is an element x such that there is an element y such that x is a cube , x is large and x is to the left of b"
3,"∀ x ∀ y ( ( Tet ( x ) ∧ Dodec ( y ) ) → ¬ ∃ x ( Tet ( x ) ∧ ¬ FrontOf ( x , y ) ) )","for all x , for all y , if x is a tetrahedron and y is a dodecahedron , then it is not the case that there is a tetrahedron x such that x is not in front of y"
4,"∀ x ∃ y ( ( Dodec ( x ) ∧ ¬ LeftOf ( y , x ) ) → LeftOf ( x , y ) )","for all x , there is an element y such that if x is a dodecahedron and y is not to the left of x , then x is to the left of y"
5,"FrontOf ( b , d ) ∧ FrontOf ( b , e ) ∧ Smaller ( b , d ) ∧ Smaller ( b , e )","b is in front of d , in front of e , smaller than d and smaller than e"
6,"∀ z ( Tet ( z ) → ∀ y ( ∃ x ( Cube ( x ) ∧ Larger ( a , x ) ) → Smaller ( a , z ) ) )","for all tetrahedrons z , for all y , if a is larger than some cube , then a is smaller than z"
7,"∀ x ( Dodec ( x ) → LeftOf ( a , x ) )",a is to the left of every dodecahedron
8,"∃ z ∃ x ( Cube ( z ) ∧ Tet ( x ) ∧ Larger ( z , x ) )","there is an element z such that there is an element x such that z is a cube , x is a tetrahedron and z is larger than x"
9,"∀ x ( ( Cube ( x ) ∧ Small ( x ) ) → ∃ u ( Large ( u ) ∧ Cube ( u ) ∧ BackOf ( x , u ) ) )","for all x , if x is a cube and x is small , then there is an element u such that u is large , u is a cube and x is in back of u"
10,"∃ x ( LeftOf ( a , b ) ∨ Small ( b ) ) ∨ LeftOf ( b , c )",there is an element x such that a is to the left of b or b is small or b is to the left of c
11,∃ x ∃ x ( Pet ( a ) ∧ Medium ( x ) ),there is an element x such that there is an element x such that a is a pet and x is medium
12,"∃ x ( ( Pet ( a ) → SameSize ( b , x ) ) ∧ ( Tet ( a ) ∧ Even ( x ) ) )","there is an element x such that all these hold : \n\t• if a is a pet , then b is of the same size as x , a is a tetrahedron \n\t• x is even"
13,¬ ∀ x ( Small ( x ) ∨ Even ( x ) ),"it is not the case that for all x , x is small or even"
14,"∃ x ∀ y FrontOf ( y , x ) → ( ( SameRow ( a , a ) → Small ( a ) ) ∧ ∃ z FrontOf ( a , z ) )","if there is an element x such that for all y , y is in front of x , then all these hold : \n\t• if a is in the same row as itself , then a is small \n\t• there is an element z such that a is in front of z"
15,"∀ x ( ( BackOf ( x , x ) ∨ RightOf ( a , x ) ) ∨ ( Even ( a ) → BackOf ( b , x ) ) )","for all x , at least one of these holds : \n\t• x is in back of itself , a is to the right of x \n\t• if a is even , then b is in back of x"
16,"( ∀ x Prime ( a ) ∨ ( Adjoins ( b , a ) ∨ Prime ( c ) ) ) ∧ Medium ( a )","all these hold : \n\t• for all x , a is a prime , b is adjacent to a or c is a prime \n\t• a is medium"
17,¬ ( ∀ x Dodec ( a ) ∨ ∃ y Large ( a ) ),"it is not the case that for all x , a is a dodecahedron or there is an element y such that a is large"
18,¬ ∃ x ( Small ( a ) ∧ Medium ( b ) ),it is not the case that there is an element x such that a is small and b is medium
19,"∀ x ( ∃ y SameShape ( a , y ) → ( Dodec ( b ) → Even ( a ) ) )","for all x , if there is an element y such that a is of the same shape as y , then if b is a dodecahedron , then a is even"
20,"¬ ∃ x ( SameShape ( a , b ) → SameRow ( c , c ) )",it is not the case that there is an element x such that a is in the same shape as b and c is in the same row as itself
21,∀ x ( Tet ( x ) ∨ Prime ( a ) ) ∨ ∃ x ( Person ( x ) → Student ( a ) ),"for all x , x is a tetrahedron or a is a prime or there is an element x such that a is a student"
22,"∃ x ∀ y Larger ( x , a ) ∧ ∀ y ¬ Pet ( b )","there is an element x such that for all y , x is larger than a and there is an element x such that for all y , b is not a pet"
23,"∃ x ( ( ( SameShape ( x , a ) ∧ Tet ( x ) ) → Adjoins ( x , a ) )","for all x , if x is of the same shape as a, then x is adjacent to a"
24,"∃ x Cube ( x ) ( Person ( a ) → Adjoins ( x , a ) )",there is a cube such that a is a person or x is adjacent to a
