,Condition,Formula,Translation
0,GGC,"∀ v ( ( Cube ( v ) ∧ ∃ w FrontOf ( w , v ) ) → Small ( v ) )","for all v , if v is a cube and there is an element w such that w is in front of v , then v is small"
1,GGC,"∀ y ( Dodec ( y ) → ∀ x ( Cube ( x ) → ( Larger ( y , x ) ∨ SameSize ( y , x ) ) ) )","for all dodecahedrons y , for all cubes x , y is larger than x or of the same size as x"
2,GGC,"∀ y ( Cube ( y ) → ( ¬ SameCol ( a , y ) ∧ ¬ SameCol ( b , y ) ) )","for all cubes y , a is not in the same column as y and b is not in the same column as y"
3,GGC,"∀ x ∃ y ( ( Dodec ( x ) ∧ ¬ RightOf ( y , x ) ) → ∃ w LeftOf ( w , x ) )","for all x , there is an element y such that if x is a dodecahedron and y is not to the right of x , then there is an element w such that w is to the left of x"
4,GGC,∃ y ( Large ( y ) ∧ Dodec ( y ) ),there is an element y such that y is large and y is a dodecahedron
5,GGC,"∃ w ( Large ( w ) ∧ Cube ( w ) ∧ LeftOf ( w , b ) )","there is an element w such that w is large , w is a cube and w is to the left of b"
6,GGC,"∀ y ∀ x ( ( Cube ( x ) ∧ Dodec ( y ) ) → ( Larger ( y , x ) ∨ SameSize ( y , x ) ) )","for all y , for all x , if x is a cube and y is a dodecahedron , then y is larger than x or of the same size as x"
7,GGC,"∀ x ( Dodec ( x ) → ( ∃ y RightOf ( y , x ) ∨ ∃ z LeftOf ( z , x ) ) )","for all dodecahedrons x , there is an element y such that y is to the right of x or there is an element z such that z is to the left of x"
8,GGC,"¬ ∃ w ( Cube ( w ) ∧ LeftOf ( b , w ) )",it is not the case that b is to the left of some cube
9,GGC,"∀ x ( ( Dodec ( x ) ∧ FrontOf ( e , x ) ) → ¬ Dodec ( e ) )","for all x , if x is a dodecahedron and e is in front of x , then e is not a dodecahedron"
10,RG,"( ( Medium ( a ) ∧ Pet ( b ) ) → ( Large ( b ) → FrontOf ( c , d ) ) ) ∧ ∃ x ∀ x RightOf ( x , b )","all these hold : \n\t• if a is medium and b is a pet , then if b is large , then c is in front of d \n\t• there is an element x such that for all x , x is to the right of b"
11,RG,"( ∀ x Even ( x ) → ( BackOf ( a , a ) → Small ( a ) ) ) ∨ Medium ( a )","at least one of these holds : \n\t• if for all x , x is even , then if a is in back of itself , then a is small \n\t• a is medium"
12,RG,"∀ x ( Even ( a ) → SameSize ( a , b ) ) ∨ ( SameSize ( c , c ) → ( Even ( a ) ∧ Medium ( c ) ) )","at least one of these holds : \n\t• for all x , if a is even , then a is of the same size as b \n\t• if c is of the same size as itself , then a is even and c is medium"
13,RG,"( BackOf ( a , b ) → Even ( a ) ) ∨ ¬ ( FrontOf ( a , a ) ∧ Adjoins ( b , b ) )","at least one of these holds : \n\t• if a is in back of b , then a is even \n\t• it is not the case that a is in front of itself and b is adjacent to itself"
14,RG,"∃ x ∀ x ( SameShape ( a , a ) ∧ BackOf ( b , x ) )","there is an element x such that for all x , a is of the same shape as itself and b is in back of x"
15,RG,"∀ x ∀ x ∀ x LeftOf ( x , a )","for all x , for all x , for all x , x is to the left of a"
16,RG,¬ ( ( Person ( a ) ∨ Tet ( a ) ) ∧ ( Student ( a ) → Tet ( a ) ) ),"it is not the case that all these hold : \n\t• a is a person or a is a tetrahedron \n\t• if a is a student , then a is a tetrahedron"
17,RG,"∃ x ( ( Student ( a ) → Pet ( a ) ) ∧ ( Adjoins ( a , b ) ∧ Larger ( x , x ) ) )","there is an element x such that all these hold : \n\t• if a is a student , then a is a pet , a is adjacent to b \n\t• x is larger than itself"
18,RG,"( ¬ Medium ( a ) ∧ ( Adjoins ( b , b ) → Smaller ( c , c ) ) ) ∧ ¬ ( Small ( c ) ∨ Medium ( d ) )","all these hold : \n\t• a is not medium , if b is adjacent to itself , then c is smaller than itself \n\t• it is not the case that c is small or d is medium"
19,RG,"( ( Even ( a ) ∨ Even ( b ) ) ∧ ( Prime ( a ) ∨ SameRow ( b , a ) ) ) ∧ Even ( c )","all these hold : \n\t• a or b is even , a is a prime or b is in the same row as a \n\t• c is even"
20,Filler,"¬ ∃ x ( SameShape ( a , b ) → SameRow ( c , c ) )",it is not the case that there is an element x such that a is in the same shape as b and c is in the same row as itself
21,Filler,∀ x ( Tet ( x ) ∨ Prime ( a ) ) ∨ ∃ x ( Person ( x ) → Student ( a ) ),"for all x , x is a tetrahedron or a is a prime or there is an element x such that a is a student"
22,Filler,"∃ x ∀ y Larger ( x , a ) ∧ ∀ y ¬ Pet ( b )","there is an element x such that for all y , x is larger than a and there is an element x such that for all y , b is not a pet"
23,Filler,"∃ x ( ( ( SameShape ( x , a ) ∧ Tet ( x ) ) → Adjoins ( x , a ) )","for all x , if x is of the same shape as a, then x is adjacent to a"
24,Filler,"∃ x Cube ( x ) ( Person ( a ) → Adjoins ( x , a ) )",there is a cube such that a is a person or x is adjacent to a
