,Formula,Translation
0,"∀ x ( ¬ ∃ y ( Dodec ( x ) → RightOf ( y , x ) ) → ∃ z RightOf ( x , z ) )","for all x , if it is not the case that there is an element y such that if x is a dodecahedron , then y is to the right of x , then there is an element z such that x is to the right of z"
1,"¬ ∃ y ∃ x ( Cube ( x ) ∧ Cube ( y ) ∧ RightOf ( y , x ) )","it is not the case that there is an element y such that there is an element x such that x is a cube , y is a cube and y is to the right of x"
2,"∀ x ∀ y ( ( Cube ( x ) ∧ SameSize ( x , y ) ) → ¬ Tet ( y ) )","for all x , for all y , if x is a cube and x is of the same size as y , then y is not a tetrahedron"
3,"∃ x ( RightOf ( b , x ) ∧ Cube ( x ) ∧ Large ( x ) )","there is an element x such that b is to the right of x , x is a cube and x is large"
4,"∀ x ¬ ( Adjoins ( a , x ) ∨ Adjoins ( a , b ) )","for all x , it is not the case that a is adjacent to x or adjacent to b"
5,"∀ x ( Cube ( x ) → ∃ y ( Tet ( y ) ∧ LeftOf ( x , y ) ∧ SameSize ( y , x ) ) )","for all cubes x , there is an element y such that y is a tetrahedron , x is to the left of y and y is of the same size as x"
6,"∀ u ∃ x ( Tet ( u ) → BackOf ( u , x ) )","for all u , there is an element x such that if u is a tetrahedron , then u is in back of x"
7,∀ y ( Dodec ( y ) → ( Large ( y ) ∨ Small ( y ) ∨ Medium ( y ) ) ),"every dodecahedron is large , small or medium"
8,∀ x ∃ x ( Prime ( x ) ∧ ¬ Even ( x ) ),"for all x , there is a prime x such that x is not even"
9,"( Larger ( c , e ) ∨ SameSize ( c , e ) ) ∧ ( Larger ( c , d ) ∨ SameSize ( c , d ) )",c is larger than e or of the same size as e and larger than d or of the same size as d
10,"¬ ( ( Small ( a ) → Large ( a ) ) ∨ BackOf ( a , a ) )","it is not the case that at least one of these holds : \item if a is small , then a is large \item a is in back of itself"
11,Student ( a ) ∨ ( Pet ( a ) ∨ ( Large ( a ) ∨ Student ( b ) ) ),"a is a student , a is a pet , a is large or b is a student"
12,"LeftOf ( a , b ) ∨ ∀ x1 ¬ LeftOf ( x1 , x1 )","a is to the left of b or for all x1 , x1 is not to the left of x1"
13,"SameCol ( a , a ) ∨ ¬ ( Large ( a ) ∨ SameRow ( a , a ) )",a is in the same column as itself or it is not the case that a is large or a is in the same row as itself
14,∀ x1 ( ∃ x2 Cube ( a ) ∧ ¬ Large ( a ) ),"for all x1 , there is an element x2 such that a is a cube and a is not large"
15,"( ( Even ( a ) → Adjoins ( a , b ) ) ∧ ( Cube ( b ) ∧ Tet ( a ) ) ) ∧ Medium ( c )","all these hold : \item if a is even , then a is adjacent to b , b is a cube , a is a tetrahedron \item c is medium"
16,"Small ( a ) ∨ ( ¬ Dodec ( b ) ∧ ∀ x1 LeftOf ( x1 , x1 ) )","at least one of these holds : \item a is small \item b is not a dodecahedron and for all x1 , x1 is to the left of itself"
17,"∀ x1 ∃ x2 ¬ FrontOf ( a , x1 )","for all x1 , there is an element x2 such that a is not in front of x1"
18,"Large ( a ) → ( BackOf ( b , c ) ∧ ¬ Large ( a ) )","if a is large , then b is in back of c and a is not large"
19,"∀ x1 ( Medium ( a ) ∨ Even ( x1 ) ) ∧ ( ( Tet ( b ) ∨ Smaller ( a , b ) ) → ∃ x1 Medium ( b ) )","all these hold : \item for all x1 , a is medium or x1 is even \item if b is a tetrahedron or a is smaller than b , then there is an element x1 such that b is medium"
20,"¬ ∃ x1 ( SameShape ( a , b ) → SameRow ( x2 , x2 ) )",it is not the case that there is an element x1 such that a is in the same shape as b and x2 is in the same row as itself
21,∀ x1 ( Tet ( x1 ) ∨ Prime ( x2 ) ) ∨ ∃ x1 ( Person ( x1 ) → Student ( x2 ) ),"for all x1 , x1 is a tetrahedron or x2 is a prime or there is an element x1 such that x2 is a student"
22,"∃ x1 ∀ x2 Larger ( x1 , a ) ∧ ∀ x2 ¬ Pet ( x3 )","there is an element x1 such that for all x2 , x1 is larger than a and there is an element x1 such that for all x2 , x3 is not a pet"
23,"∃ x1 ( ( ( SameShape ( x1 , a ) ∧ Tet ( x1 ) ) → Adjoins ( x1 , a ) )","for all x1 , if x1 is of the same shape as a, then x1 is adjacent to a"
24,"∃ x1 Cube ( x1 ) ( Person ( a ) → Adjoins ( x1 , a ) )",there is a cube such that a is a person or x1 is adjacent to a
