,Condition,Formula,Translation
0,GGC,"∀ x ( Tet ( x ) → ∀ y ( ¬ Cube ( y ) ∨ ¬ SameSize ( x , y ) ) )","for all tetrahedrons x , for all y , y is not a cube or x is not of the same size as y"
1,GGC,"¬ ∃ x ¬ ( Dodec ( x ) → ∃ y ( Cube ( y ) ∧ SameSize ( x , y ) ) )","it is not the case that there is an element x such that it is not the case that if x is a dodecahedron , then x is of the same size as some cube"
2,GGC,"¬ Large ( a ) ∧ Larger ( a , c ) ∧ Larger ( e , c ) ∧ ¬ Large ( e )","a is not large , a is larger than c , e is larger than c and e is not large"
3,GGC,"∃ x ( Large ( x ) ∧ Cube ( x ) ∧ ∀ z ( ( Small ( z ) ∧ Cube ( z ) ) → BackOf ( z , x ) ) )","there is an element x such that x is large , x is a cube and for all z , if z is small and z is a cube , then z is in back of x"
4,GGC,∀ z ( Cube ( z ) ∨ Tet ( z ) ),"for all z , z is a cube or z is a tetrahedron"
5,GGC,"¬ ∀ x ∀ y ( ( Tet ( x ) ∧ Tet ( y ) ) → ( ¬ RightOf ( x , y ) ∧ ¬ LeftOf ( x , y ) ) )","it is not the case that for all x , for all y , if x is a tetrahedron and y is a tetrahedron , then x is not to the right of y and x is not to the left of y"
6,GGC,∃ y ¬ ( Dodec ( y ) → ( Large ( y ) ∨ Small ( y ) ) ),"there is an element y such that it is not the case that if y is a dodecahedron , then y is large or small"
7,GGC,∀ y ( Cube ( y ) → ¬ Large ( y ) ),"for all cubes y , y is not large"
8,GGC,"∀ y ∀ z ( ( Dodec ( y ) ∧ Cube ( z ) ∧ LeftOf ( y , z ) ) → Large ( y ) )","for all y , for all z , if y is a dodecahedron , z is a cube and y is to the left of z , then y is large"
9,GGC,∃ x ∃ y ( Tet ( x ) ∧ Cube ( y ) ∧ ¬ ∃ z Dodec ( z ) ),"there is an element x such that there is an element y such that x is a tetrahedron , y is a cube and it is not the case that there is an element z such that z is a dodecahedron"
10,RG,"∃ x ∃ x Adjoins ( x , a )",there is an element x such that there is an element x such that x is adjacent to a
11,RG,"¬ ( ∀ x SameRow ( a , a ) ∨ ( Even ( a ) ∨ Large ( b ) ) )","it is not the case that for all x , a is in the same row as itself , a is even or b is large"
12,RG,∃ x ¬ Small ( x ) → ( ( Cube ( a ) ∧ Medium ( b ) ) ∨ ∀ x Person ( a ) ),"if there is an element x such that x is not small , then at least one of these holds : \n\t• a is a cube and b is medium \n\t• for all x , a is a person"
13,RG,"( ( RightOf ( a , a ) → Pet ( a ) ) ∧ ( Tet ( a ) ∨ Large ( a ) ) ) ∨ ∀ x ∃ x Tet ( a )","all these hold : \n\t• if a is to the right of itself , then a is a pet \n\t• a is a tetrahedron or a is large or for all x , there is an element x such that a is a tetrahedron"
14,RG,"¬ ( ( Tet ( a ) ∨ SameCol ( a , b ) ) ∧ ( SameSize ( a , c ) ∧ Larger ( b , c ) ) )","it is not the case that all these hold : \n\t• a is a tetrahedron or a is in the same column as b , a is of the same size as c \n\t• b is larger than c"
15,RG,"∃ x ( ∀ x Smaller ( a , b ) ∨ ∀ x Medium ( x ) )","there is an element x such that for all x , a is smaller than b or for all x , x is medium"
16,RG,"∀ x ∀ x SameSize ( a , x ) → ∀ y ( Adjoins ( a , a ) → Medium ( a ) )","if for all x , for all x , a is of the same size as x , then for all y , if a is adjacent to itself , then a is medium"
17,RG,"∀ x ( ∀ y BackOf ( a , x ) → ∃ y Large ( b ) )","for all x , if for all y , a is in back of x , then there is an element y such that b is large"
18,RG,∃ x ( ∃ x Pet ( x ) ∧ Small ( a ) ),there is an element x such that there is an element x such that x is a pet and a is small
19,RG,Large ( a ) ∨ Medium ( a ),a is large or medium
20,Filler,"¬ ∃ x ( SameShape ( a , b ) → SameRow ( c , c ) )",it is not the case that there is an element x such that a is in the same shape as b and c is in the same row as itself
21,Filler,∀ x ( Tet ( x ) ∨ Prime ( a ) ) ∨ ∃ x ( Person ( x ) → Student ( a ) ),"for all x , x is a tetrahedron or a is a prime or there is an element x such that a is a student"
22,Filler,"∃ x ∀ y Larger ( x , a ) ∧ ∀ y ¬ Pet ( b )","there is an element x such that for all y , x is larger than a and there is an element x such that for all y , b is not a pet"
23,Filler,"∃ x ( ( ( SameShape ( x , a ) ∧ Tet ( x ) ) → Adjoins ( x , a ) )","for all x , if x is of the same shape as a, then x is adjacent to a"
24,Filler,"∃ x Cube ( x ) ( Person ( a ) → Adjoins ( x , a ) )",there is a cube such that a is a person or x is adjacent to a
