,Condition,Formula,Translation
0,GGC,"∀ z ( ( Cube ( z ) ∧ ∃ u FrontOf ( u , z ) ) → Small ( z ) )","for all z , if z is a cube and there is an element u such that u is in front of z , then z is small"
1,GGC,"∀ v ( ( Dodec ( v ) ∧ ¬ ∃ w RightOf ( w , v ) ) → Small ( v ) )","for all v , if v is a dodecahedron and it is not the case that there is an element w such that w is to the right of v , then v is small"
2,GGC,¬ Cube ( a ) → ( Cube ( c ) ∨ ( ¬ Cube ( c ) → Cube ( e ) ) ),"if a is not a cube , then at least one of these holds : \n\t• c is a cube \n\t• if c is not a cube , then e is a cube"
3,GGC,"∀ x ( ∀ y ( Dodec ( x ) ∧ ¬ RightOf ( y , x ) ) → Small ( x ) )","for all x , if for all y , x is a dodecahedron and y is not to the right of x , then x is small"
4,GGC,"¬ ∃ y ( ¬ Tet ( y ) ∧ ¬ ∃ x FrontOf ( x , y ) )",it is not the case that there is an element y such that y is not a tetrahedron and it is not the case that there is an element x such that x is in front of y
5,GGC,"¬ ∃ x ( ¬ ∃ y FrontOf ( y , x ) ∧ ¬ Tet ( x ) )",it is not the case that there is an element x such that it is not the case that there is an element y such that y is in front of x and x is not a tetrahedron
6,GGC,"∀ x ( ( Dodec ( x ) ∧ ¬ ∃ y RightOf ( x , y ) ) → ∃ z LeftOf ( x , z ) )","for all x , if x is a dodecahedron and it is not the case that there is an element y such that x is to the right of y , then there is an element z such that x is to the left of z"
7,GGC,"∀ y ∀ x ( ( Dodec ( y ) ∧ Tet ( x ) ) → FrontOf ( x , y ) )","for all y , for all x , if y is a dodecahedron and x is a tetrahedron , then x is in front of y"
8,GGC,"∀ y ∀ z ( ( Cube ( y ) ∧ Dodec ( z ) ∧ BackOf ( y , z ) ) → Smaller ( y , z ) )","for all y , for all z , if y is a cube , z is a dodecahedron and y is in back of z , then y is smaller than z"
9,GGC,"¬ ( Cube ( a ) ∧ Cube ( d ) ) ∨ LeftOf ( a , d ) ∨ LeftOf ( d , a )","it is not the case that a is a cube and d is a cube , a is to the left of d or d is to the left of a"
10,RG,"Student ( a ) ∨ ( Medium ( b ) ∨ ∀ x SameSize ( x , x ) )","a is a student , b is medium or for all x , x is of the same size as itself"
11,RG,"∀ x ¬ ( LeftOf ( x , x ) → LeftOf ( a , b ) )","for all x , it is not the case that if x is to the left of itself , then a is to the left of b"
12,RG,"Adjoins ( a , b ) ∧ ( ( SameRow ( a , b ) ∧ Person ( b ) ) → ( Dodec ( c ) ∧ RightOf ( c , a ) ) )","all these hold : \n\t• a is adjacent to b \n\t• if a is in the same row as b and b is a person , then c is a dodecahedron and c is to the right of a"
13,RG,"∀ x RightOf ( a , a )","for all x , a is to the right of itself"
14,RG,"∀ x ∀ x ∃ x SameSize ( x , a )","for all x , for all x , there is an element x such that x is of the same size as a"
15,RG,"∃ x ∀ x ¬ Larger ( x , x )","there is an element x such that for all x , x is not larger than x"
16,RG,"¬ ( Adjoins ( a , b ) → Adjoins ( a , c ) ) ∨ ¬ ( Student ( c ) ∧ Medium ( a ) )","it is not the case that if a is adjacent to b , then a is adjacent to c or it is not the case that c is a student and a is medium"
17,RG,Medium ( a ) ∨ ( ( Small ( b ) → Tet ( b ) ) → ¬ Person ( c ) ),"at least one of these holds : \n\t• a is medium \n\t• if if b is small , then b is a tetrahedron , then c is not a person"
18,RG,"∀ x ∃ x SameSize ( x , a )","for all x , there is an element x such that x is of the same size as a"
19,RG,"( ∃ x FrontOf ( a , x ) → ( Large ( a ) ∧ SameSize ( a , b ) ) ) ∨ Smaller ( c , c )","at least one of these holds : \n\t• if there is an element x such that a is in front of x , then a is large and of the same size as b \n\t• c is smaller than itself"
20,Filler,"¬ ∃ x ( SameShape ( a , b ) → SameRow ( c , c ) )",it is not the case that there is an element x such that a is in the same shape as b and c is in the same row as itself
21,Filler,∀ x ( Tet ( x ) ∨ Prime ( a ) ) ∨ ∃ x ( Person ( x ) → Student ( a ) ),"for all x , x is a tetrahedron or a is a prime or there is an element x such that a is a student"
22,Filler,"∃ x ∀ y Larger ( x , a ) ∧ ∀ y ¬ Pet ( b )","there is an element x such that for all y , x is larger than a and there is an element x such that for all y , b is not a pet"
23,Filler,"∃ x ( ( ( SameShape ( x , a ) ∧ Tet ( x ) ) → Adjoins ( x , a ) )","for all x , if x is of the same shape as a, then x is adjacent to a"
24,Filler,"∃ x Cube ( x ) ( Person ( a ) → Adjoins ( x , a ) )",there is a cube such that a is a person or x is adjacent to a
