,Formula,Translation
0,"Tet ( a ) → ( Tet ( a ) ∧ FrontOf ( a , d ) )","if a is a tetrahedron , then a is a tetrahedron and a is in front of d"
1,"∀ u ( ( Dodec ( u ) ∧ ¬ ∃ y RightOf ( y , u ) ) → ∃ w LeftOf ( w , u ) )","for all u , if u is a dodecahedron and it is not the case that there is an element y such that y is to the right of u , then there is an element w such that w is to the left of u"
2,"∀ x ( ¬ Dodec ( x ) ∨ LeftOf ( a , x ) )","for all x , x is not a dodecahedron or a is to the left of x"
3,"∀ u ( ( Dodec ( u ) ∧ ∃ x ( Cube ( x ) ∧ LeftOf ( u , x ) ) ) → Large ( u ) )","for all u , if u is a dodecahedron and u is to the left of some cube , then u is large"
4,"∀ y ¬ ∃ x ( Tet ( y ) ∧ Cube ( x ) ∧ SameSize ( x , y ) )","for all y , it is not the case that there is an element x such that y is a tetrahedron , x is a cube and x is of the same size as y"
5,"∀ x ( Dodec ( x ) → ( ¬ ∃ z RightOf ( z , x ) → ∃ y LeftOf ( y , x ) ) )","for all dodecahedrons x , if it is not the case that there is an element z such that z is to the right of x , then there is an element y such that y is to the left of x"
6,"∀ x ( ( ¬ ∃ y RightOf ( y , x ) ∧ Dodec ( x ) ) → ∃ y LeftOf ( y , x ) )","for all x , if it is not the case that there is an element y such that y is to the right of x and x is a dodecahedron , then there is an element y such that y is to the left of x"
7,¬ ∃ w ¬ ( Cube ( w ) → Small ( w ) ),"it is not the case that there is an element w such that it is not the case that if w is a cube , then w is small"
8,"∀ x ∀ y ( ( FrontOf ( x , y ) ∧ Dodec ( x ) ∧ Cube ( y ) ) → Larger ( x , y ) )","for all x , for all y , if x is in front of y , x is a dodecahedron and y is a cube , then x is larger than y"
9,"Dodec ( b ) → ( ( Dodec ( b ) → ¬ FrontOf ( b , d ) ) → ¬ BackOf ( b , d ) )","if b is a dodecahedron , then if if b is a dodecahedron , then b is not in front of d , then b is not in back of d"
10,"( ∀ x Cube ( a ) ∧ ( SameRow ( a , a ) → Student ( b ) ) ) ∧ ∀ y ∀ z Dodec ( a )","all these hold : \n\t• for all x , a is a cube , if a is in the same row as itself , then b is a student \n\t• for all y , for all z , a is a dodecahedron"
11,"( ∃ x SameSize ( a , x ) → ∃ y Larger ( a , a ) ) → ¬ ( Student ( a ) ∧ Small ( b ) )","if if there is an element x such that a is of the same size as x , then there is an element y such that a is larger than itself , then it is not the case that a is a student and b is small"
12,"∃ x ∃ x Person ( x ) ∨ ( ∃ y Small ( y ) ∨ ( Cube ( a ) → BackOf ( b , c ) ) )","at least one of these holds : \n\t• there is an element x such that there is an element x such that x is a person , there is an element y such that y is small \n\t• if a is a cube , then b is in back of c"
13,"( ¬ Even ( a ) → Even ( b ) ) ∧ SameRow ( a , c )","all these hold : \n\t• if a is not even , then b is even \n\t• a is in the same row as c"
14,"∀ x ∀ x Even ( x ) → ∀ y ¬ SameRow ( a , a )","if for all x , for all x , x is even , then for all y , a is not in the same row as a"
15,"∃ x ∀ y Cube ( x ) ∨ ¬ ( RightOf ( a , b ) ∧ Prime ( b ) )","there is an element x such that for all y , x is a cube or it is not the case that a is to the right of b and b is a prime"
16,( ¬ Small ( a ) ∨ ( Student ( b ) ∨ Small ( a ) ) ) ∧ ¬ Medium ( a ),"all these hold : \n\t• a is not small , b is a student or a is small \n\t• a is not medium"
17,"∀ x ∀ x FrontOf ( a , b ) → Large ( c )","if for all x , for all x , a is in front of b , then c is large"
18,"∀ x ∃ x ( Adjoins ( x , a ) → Medium ( b ) )","for all x , there is an element x such that if x is adjacent to a , then b is medium"
19,∀ x ( ¬ Medium ( a ) ∧ Student ( b ) ),"for all x , a is not medium and b is a student"
20,"¬ ∃ x ( SameShape ( a , b ) → SameRow ( c , c ) )",it is not the case that there is an element x such that a is in the same shape as b and c is in the same row as itself
21,∀ x ( Tet ( x ) ∨ Prime ( a ) ) ∨ ∃ x ( Person ( x ) → Student ( a ) ),"for all x , x is a tetrahedron or a is a prime or there is an element x such that a is a student"
22,"∃ x ∀ y Larger ( x , a ) ∧ ∀ y ¬ Pet ( b )","there is an element x such that for all y , x is larger than a and there is an element x such that for all y , b is not a pet"
23,"∃ x ( ( ( SameShape ( x , a ) ∧ Tet ( x ) ) → Adjoins ( x , a ) )","for all x , if x is of the same shape as a, then x is adjacent to a"
24,"∃ x Cube ( x ) ( Person ( a ) → Adjoins ( x , a ) )",there is a cube such that a is a person or x is adjacent to a
