,Condition,Formula,Translation
0,GGC,"∀ x ∀ y ( Cube ( x ) → ∀ y ( ( Dodec ( y ) ∧ BackOf ( x , y ) ) → Smaller ( x , y ) ) )","for all x , for all y , if x is a cube , then for all y , if y is a dodecahedron and x is in back of y , then x is smaller than y"
1,GGC,"∀ x ¬ ( Cube ( x ) ∧ ∃ y ( Cube ( y ) ∧ ¬ SameCol ( x , y ) ) )","for all x , it is not the case that x is a cube and there is a cube y such that x is not in the same column as y"
2,GGC,"∃ x ( RightOf ( b , x ) ∧ ∃ x ( LeftOf ( x , b ) ∧ Large ( x ) ∧ Cube ( x ) ) )","there is an element x such that b is to the right of x and there is an element x such that x is to the left of b , x is large and x is a cube"
3,GGC,"SameSize ( e , d ) ∧ SameSize ( d , e )",e is of the same size as d and d is of the same size as e
4,GGC,"∀ x ∀ y ( Cube ( x ) → ( Tet ( y ) → LeftOf ( x , y ) ) )","for all x , for all y , if x is a cube , then if y is a tetrahedron , then x is to the left of y"
5,GGC,"∀ x ∀ y ( ( Cube ( x ) ∧ Cube ( y ) ) → ( ¬ RightOf ( x , y ) ∧ ¬ LeftOf ( x , y ) ) )","for all x , for all y , if x is a cube and y is a cube , then x is not to the right of y and x is not to the left of y"
6,GGC,"∀ x ∀ y ∀ z ( ( Cube ( y ) ∧ Cube ( z ) ∧ FrontOf ( x , y ) ∧ FrontOf ( z , x ) ) → ¬ Large ( x ) )","for all x , for all y , for all z , if y is a cube , z is a cube , x is in front of y and z is in front of x , then x is not large"
7,GGC,"¬ SameShape ( d , b ) ∨ SameSize ( d , b )",d is not of the same shape as b or d is of the same size as b
8,GGC,∃ x ( Cube ( x ) ∧ ∃ y Tet ( y ) ∧ ¬ ∃ z Dodec ( z ) ),"there is an element x such that x is a cube , there is an element y such that y is a tetrahedron and it is not the case that there is an element z such that z is a dodecahedron"
9,GGC,∃ w ( Dodec ( w ) ∧ ¬ Large ( w ) ∧ ¬ Small ( w ) ),"there is an element w such that w is a dodecahedron , w is not large and w is not small"
10,RG,"( ∀ x SameShape ( x , x ) ∧ Person ( a ) ) ∧ ( Even ( b ) ∨ ( SameRow ( a , a ) ∧ Small ( a ) ) )","for all x , x is of the same shape as itself , a is a person and at least one of these holds : \n\t• b is even \n\t• a is in the same row as itself and a is small"
11,RG,∃ x ∀ y Pet ( a ) ∨ ∃ z ∀ w Prime ( a ),"there is an element x such that for all y , a is a pet or there is an element z such that for all w , a is a prime"
12,RG,"∃ x ( Prime ( a ) ∨ Small ( a ) ) → ( ¬ SameSize ( a , b ) ∨ SameCol ( b , c ) )","if there is an element x such that a is a prime or a is small , then a is not of the same size as b or b is in the same column as c"
13,RG,∀ x ( ∃ y Student ( a ) ∧ ( Large ( x ) → Tet ( b ) ) ),"for all x , all these hold : \n\t• there is an element y such that a is a student \n\t• if x is large , then b is a tetrahedron"
14,RG,"Cube ( a ) ∧ ∃ x ( RightOf ( a , x ) → Pet ( a ) )","a is a cube and there is an element x such that if a is to the right of x , then a is a pet"
15,RG,∀ x ( Even ( x ) ∧ Tet ( a ) ) ∧ ∃ y Small ( y ),"for all x , x is even and a is a tetrahedron and there is an element y such that y is small"
16,RG,"∃ x ( Person ( x ) ∨ RightOf ( a , a ) ) ∨ ¬ ¬ Large ( a )",there is an element x such that x is a person or a is to the right of itself or it is not the case that a is not large
17,RG,"( ¬ Small ( a ) → ( Even ( a ) ∨ Medium ( a ) ) ) ∨ ∃ x ( SameSize ( x , x ) ∧ Larger ( x , a ) )","at least one of these holds : \n\t• if a is not small , then a is even or medium \n\t• there is an element x such that x is of the same size as itself and x is larger than a"
18,RG,"∃ x ∃ y ( Small ( x ) → SameShape ( a , b ) )","there is an element x such that there is an element y such that if x is small , then a is of the same shape as b"
19,RG,"( ¬ SameSize ( a , a ) ∨ ∃ x Student ( a ) ) → Larger ( a , a )","if a is not of the same size as a or there is an element x such that a is a student , then a is larger than itself"
20,Filler,"¬ ∃ x ( SameShape ( a , b ) → SameRow ( c , c ) )",it is not the case that there is an element x such that a is in the same shape as b and c is in the same row as itself
21,Filler,∀ x ( Tet ( x ) ∨ Prime ( a ) ) ∨ ∃ x ( Person ( x ) → Student ( a ) ),"for all x , x is a tetrahedron or a is a prime or there is an element x such that a is a student"
22,Filler,"∃ x ∀ y Larger ( x , a ) ∧ ∀ y ¬ Pet ( b )","there is an element x such that for all y , x is larger than a and there is an element x such that for all y , b is not a pet"
23,Filler,"∃ x ( ( ( SameShape ( x , a ) ∧ Tet ( x ) ) → Adjoins ( x , a ) )","for all x , if x is of the same shape as a, then x is adjacent to a"
24,Filler,"∃ x Cube ( x ) ( Person ( a ) → Adjoins ( x , a ) )",there is a cube such that a is a person or x is adjacent to a
