,Condition,Formula,Translation
0,GGC,"Larger ( d , b ) ∧ Larger ( e , b ) ∧ FrontOf ( b , e ) ∧ FrontOf ( b , d )","d is larger than b , e is larger than b , b is in front of e and b is in front of d"
1,GGC,"∀ y ( ( Dodec ( y ) ∧ ¬ ∃ z RightOf ( z , y ) ) → Small ( y ) )","for all y , if y is a dodecahedron and it is not the case that there is an element z such that z is to the right of y , then y is small"
2,GGC,"¬ SameCol ( e , d ) ∧ ¬ SameCol ( e , c ) ∧ ¬ SameCol ( e , d )","e is not in the same column as d , e is not in the same column as c and e is not in the same column as d"
3,GGC,"∀ x ∀ y ( ( FrontOf ( x , y ) ∧ Cube ( x ) ) → Small ( x ) )","for all x , for all y , if x is in front of y and x is a cube , then x is small"
4,GGC,"∀ x ( ( Cube ( x ) → RightOf ( x , a ) ) ∧ ( Cube ( x ) → LeftOf ( x , b ) ) )","for all x , all these hold : \n\t• if x is a cube , then x is to the right of a \n\t• if x is a cube , then x is to the left of b"
5,GGC,"¬ ( Tet ( b ) ∨ Tet ( d ) ) → ( LeftOf ( d , b ) ∨ LeftOf ( b , d ) )","if it is not the case that b is a tetrahedron or d is a tetrahedron , then d is to the left of b or b is to the left of d"
6,GGC,"∀ x ∀ y ( ( Cube ( x ) ∧ Tet ( y ) ) → RightOf ( y , x ) )","for all x , for all y , if x is a cube and y is a tetrahedron , then y is to the right of x"
7,GGC,"¬ FrontOf ( a , d ) → ¬ Tet ( a )","if a is not in front of d , then a is not a tetrahedron"
8,GGC,¬ ∃ y ( Medium ( y ) ∧ Cube ( y ) ),it is not the case that there is an element y such that y is medium and y is a cube
9,GGC,"¬ ∀ x ∀ y ( ( Tet ( x ) ∧ Tet ( y ) ) → ( SameCol ( x , y ) ∧ SameCol ( y , x ) ) )","it is not the case that for all x , for all y , if x is a tetrahedron and y is a tetrahedron , then x is in the same column as y and y is in the same column as x"
10,RG,"∀ x ( ( SameSize ( x , a ) ∧ FrontOf ( a , a ) ) ∨ ¬ Pet ( x ) )","for all x , at least one of these holds : \n\t• x is of the same size as a and a is in front of itself \n\t• x is not a pet"
11,RG,"∃ x ∀ y ( Pet ( y ) ∧ BackOf ( a , x ) )","there is an element x such that for all y , y is a pet and a is in back of x"
12,RG,"∃ x ( Cube ( a ) ∨ ∀ y FrontOf ( a , b ) )","there is an element x such that a is a cube or for all y , a is in front of b"
13,RG,"¬ ( ( BackOf ( a , a ) ∧ Medium ( b ) ) ∨ ( Medium ( c ) ∧ SameCol ( c , d ) ) )",it is not the case that at least one of these holds : \n\t• a is in back of itself and b is medium \n\t• c is medium and in the same column as d
14,RG,"∃ x ( Student ( x ) → Even ( x ) ) → ∀ x ( Pet ( a ) ∨ SameCol ( x , x ) )","if there is an element x such that if x is a student , then x is even , then for all x , a is a pet or x is in the same column as itself"
15,RG,¬ ( ∀ x Prime ( a ) ∧ ∀ y Tet ( y ) ),"it is not the case that for all x , a is a prime and for all y , y is a tetrahedron"
16,RG,"( ∃ x Small ( a ) ∧ ∀ x Pet ( x ) ) ∨ ( ( SameRow ( b , c ) ∧ Cube ( a ) ) → ¬ Tet ( a ) )","at least one of these holds : \n\t• there is an element x such that a is small and for all x , x is a pet \n\t• if b is in the same row as c and a is a cube , then a is not a tetrahedron"
17,RG,∃ x ∃ x ¬ Prime ( x ),there is an element x such that there is an element x such that x is not a prime
18,RG,"¬ ¬ ( LeftOf ( a , b ) → Dodec ( b ) )","it is not the case that it is not the case that if a is to the left of b , then b is a dodecahedron"
19,RG,"¬ ( ( FrontOf ( a , b ) ∨ BackOf ( c , b ) ) ∧ ( Prime ( b ) → Tet ( a ) ) )","it is not the case that all these hold : \n\t• a is in front of b or c is in back of b \n\t• if b is a prime , then a is a tetrahedron"
20,Filler,"¬ ∃ x ( SameShape ( a , b ) → SameRow ( c , c ) )",it is not the case that there is an element x such that a is in the same shape as b and c is in the same row as itself
21,Filler,∀ x ( Tet ( x ) ∨ Prime ( a ) ) ∨ ∃ x ( Person ( x ) → Student ( a ) ),"for all x , x is a tetrahedron or a is a prime or there is an element x such that a is a student"
22,Filler,"∃ x ∀ y Larger ( x , a ) ∧ ∀ y ¬ Pet ( b )","there is an element x such that for all y , x is larger than a and there is an element x such that for all y , b is not a pet"
23,Filler,"∃ x ( ( ( SameShape ( x , a ) ∧ Tet ( x ) ) → Adjoins ( x , a ) )","for all x , if x is of the same shape as a, then x is adjacent to a"
24,Filler,"∃ x Cube ( x ) ( Person ( a ) → Adjoins ( x , a ) )",there is a cube such that a is a person or x is adjacent to a
