,Formula,Translation
0,∀ y ( ( Cube ( y ) ∨ Tet ( y ) ) ∧ ∃ x ( Cube ( x ) ∧ ∃ y Tet ( y ) ) ),"for all y , all these hold : \n\t• y is a cube or y is a tetrahedron \n\t• there is a cube x such that there is an element y such that y is a tetrahedron"
1,∃ x ( ¬ Small ( x ) ∧ Dodec ( x ) ∧ ¬ Large ( x ) ),"there is an element x such that x is not small , x is a dodecahedron and x is not large"
2,"∀ y ( Cube ( y ) → ∀ z ( Tet ( z ) → LeftOf ( y , z ) ) )",every cube is to the left of every tetrahedron
3,"∀ y ( Tet ( y ) → ( ∃ x ( Larger ( a , x ) ∧ Cube ( x ) ) → Smaller ( a , y ) ) )","for all tetrahedrons y , if there is an element x such that a is larger than x and x is a cube , then a is smaller than y"
4,"∀ x ( ∃ y BackOf ( y , x ) → ¬ Dodec ( x ) )","for all x , if there is an element y such that y is in back of x , then x is not a dodecahedron"
5,"∀ x ∀ y ∀ z ( ( FrontOf ( x , y ) → Larger ( y , x ) ) ∧ ( FrontOf ( y , z ) → Larger ( z , y ) ) )","for all x , for all y , for all z , all these hold : \n\t• if x is in front of y , then y is larger than x \n\t• if y is in front of z , then z is larger than y"
6,∀ x ¬ ∃ x ( Tet ( x ) ∧ Large ( x ) ),"for all x , it is not the case that some tetrahedron is large"
7,"∀ y ∀ x ( ( Cube ( y ) ∧ Tet ( x ) ) → LeftOf ( y , x ) )","for all y , for all x , if y is a cube and x is a tetrahedron , then y is to the left of x"
8,"¬ FrontOf ( c , b ) ∧ ¬ FrontOf ( c , b ) ∧ ¬ FrontOf ( d , c ) ∧ ¬ FrontOf ( d , b )","c is not in front of b , c is not in front of b , d is not in front of c and d is not in front of b"
9,"¬ ( RightOf ( b , d ) ∨ LeftOf ( b , d ) ) → ( Tet ( d ) ∨ Tet ( b ) )","if it is not the case that b is to the right of d or to the left of d , then d is a tetrahedron or b is a tetrahedron"
10,¬ ¬ Prime ( a ) → ( ( Medium ( b ) ∨ Small ( c ) ) ∧ ∃ x1 Small ( x1 ) ),"if it is not the case that a is not a prime , then all these hold : \n\t• b is medium or c is small \n\t• there is an element x1 such that x1 is small"
11,∃ x1 ¬ Person ( x1 ) ∧ ∀ x2 ( Tet ( x2 ) ∨ Small ( a ) ),"there is an element x1 such that x1 is not a person and for all x2 , x2 is a tetrahedron or a is small"
12,"∃ x1 ¬ SameCol ( x1 , a ) → Tet ( b )","if there is an element x1 such that x1 is not in the same column as a , then b is a tetrahedron"
13,"( ( Even ( a ) ∧ Student ( a ) ) ∧ ( Person ( b ) ∧ SameCol ( a , c ) ) ) ∧ ¬ Person ( b )","a is even , a is a student , b is a person , a is in the same column as c and b is not a person"
14,"( ( Cube ( a ) → Small ( a ) ) ∨ ( Larger ( b , a ) ∨ Person ( b ) ) ) → ¬ ∃ x1 RightOf ( b , a )","if at least one of these holds : \n\t• if a is a cube , then a is small , b is larger than a \n\t• b is a person , then it is not the case that there is an element x1 such that b is to the right of a"
15,"( Tet ( a ) → ∃ x1 Even ( b ) ) ∨ ( ∃ x1 Small ( x1 ) → ( Small ( b ) ∨ FrontOf ( c , b ) ) )","at least one of these holds : \n\t• if a is a tetrahedron , then there is an element x1 such that b is even \n\t• if there is an element x1 such that x1 is small , then b is small or c is in front of b"
16,"∃ x1 ( ∃ x1 Small ( a ) → ( Adjoins ( b , b ) ∨ Small ( x1 ) ) )","there is an element x1 such that if there is an element x1 such that a is small , then b is adjacent to itself or x1 is small"
17,∀ x1 ∃ x1 Even ( a ) → ∀ x1 ∃ x1 Pet ( x1 ),"if for all x1 , there is an element x1 such that a is even , then for all x1 , there is an element x1 such that x1 is a pet"
18,∀ x1 ∃ x1 Large ( x1 ) → Medium ( a ),"if for all x1 , there is an element x1 such that x1 is large , then a is medium"
19,"∃ x1 ( ¬ Small ( a ) ∨ SameShape ( b , a ) )",there is an element x1 such that a is not small or b is of the same shape as a
20,"¬ ∃ x1 ( SameShape ( a , b ) → SameRow ( x2 , x2 ) )",it is not the case that there is an element x1 such that a is in the same shape as b and x2 is in the same row as itself
21,∀ x1 ( Tet ( x1 ) ∨ Prime ( x2 ) ) ∨ ∃ x1 ( Person ( x1 ) → Student ( x2 ) ),"for all x1 , x1 is a tetrahedron or x2 is a prime or there is an element x1 such that x2 is a student"
22,"∃ x1 ∀ x2 Larger ( x1 , a ) ∧ ∀ x2 ¬ Pet ( x3 )","there is an element x1 such that for all x2 , x1 is larger than a and there is an element x1 such that for all x2 , x3 is not a pet"
23,"∃ x1 ( ( ( SameShape ( x1 , a ) ∧ Tet ( x1 ) ) → Adjoins ( x1 , a ) )","for all x1 , if x1 is of the same shape as a, then x1 is adjacent to a"
24,"∃ x1 Cube ( x1 ) ( Person ( a ) → Adjoins ( x1 , a ) )",there is a cube such that a is a person or x1 is adjacent to a
