,Formula,Translation
0,"∀ x ( Tet ( x ) → ∀ y ( Cube ( y ) → ¬ SameSize ( x , y ) ) )","for all tetrahedrons x , for all cubes y , x is not of the same size as y"
1,"∀ y ∃ x ( ( Dodec ( y ) ∧ LeftOf ( x , y ) ) → ¬ Dodec ( x ) )","for all y , there is an element x such that if y is a dodecahedron and x is to the left of y , then x is not a dodecahedron"
2,"∀ x ( Small ( x ) → ∀ y ( Large ( y ) → FrontOf ( x , y ) ) )","for all x , if x is small , then for all y , if y is large , then x is in front of y"
3,"¬ ∃ x FrontOf ( x , b )",it is not the case that there is an element x such that x is in front of b
4,"∀ z ( ( Large ( z ) ∧ Cube ( z ) ) → ∃ w FrontOf ( z , w ) )","for all z , if z is large and z is a cube , then there is an element w such that z is in front of w"
5,"¬ ∀ y ∀ x ∀ z ( ( Tet ( y ) ∧ Tet ( x ) ∧ Tet ( z ) ) → ( SameCol ( y , x ) ∧ SameCol ( x , z ) ) )","it is not the case that for all y , for all x , for all z , if y is a tetrahedron , x is a tetrahedron and z is a tetrahedron , then y is in the same column as x and x is in the same column as z"
6,"∀ x ∀ y ( ( Dodec ( x ) ∧ Cube ( y ) ) → ( Larger ( x , y ) ∨ SameSize ( x , y ) ) )","for all x , for all y , if x is a dodecahedron and y is a cube , then x is larger than y or of the same size as y"
7,"∀ x ( ( Tet ( x ) ∧ ¬ Small ( x ) ) → ∃ y ( Tet ( y ) ∧ FrontOf ( y , x ) ∧ SameCol ( y , x ) ) )","for all x , if x is a tetrahedron and x is not small , then there is an element y such that y is a tetrahedron , y is in front of x and y is in the same column as x"
8,"∀ u ( ( Dodec ( u ) ∧ ∃ v ( Cube ( v ) ∧ LeftOf ( u , v ) ) ) → Large ( u ) )","for all u , if u is a dodecahedron and u is to the left of some cube , then u is large"
9,"¬ ∀ z ( Tet ( z ) → ∀ x ( Tet ( x ) → SameCol ( x , z ) ) )",it is not the case that every tetrahedron is in the same column as every tetrahedron
10,"∀ x ∀ x RightOf ( a , x ) ∧ ¬ ∀ y Even ( y )","for all x , for all x , a is to the right of x and it is not the case that for all y , y is even"
11,∃ x ∀ y ( Medium ( a ) → Prime ( a ) ),"there is an element x such that for all y , if a is medium , then a is a prime"
12,"∃ x SameCol ( a , a )",there is an element x such that a is in the same column as itself
13,"∃ x ( ( Even ( a ) ∧ Person ( a ) ) ∧ ∃ x Adjoins ( a , x ) )","there is an element x such that a is even , a is a person and there is an element x such that a is adjacent to x"
14,"( ( Larger ( a , a ) ∨ SameRow ( b , c ) ) ∧ ¬ Prime ( a ) ) → ( ¬ Large ( a ) ∧ LeftOf ( d , d ) )","if all these hold : \n\t• a is larger than itself or b is in the same row as c \n\t• a is not a prime , then a is not large and d is to the left of itself"
15,"¬ ( ( Large ( a ) ∧ Dodec ( a ) ) ∨ Larger ( b , a ) )",it is not the case that at least one of these holds : \n\t• a is large and a is a dodecahedron \n\t• b is larger than a
16,∀ x ( Small ( x ) → Even ( x ) ) → Even ( a ),"if for all x , if x is small , then x is even , then a is even"
17,"∀ x ¬ ( SameRow ( a , b ) → Medium ( a ) )","for all x , it is not the case that if a is in the same row as b , then a is medium"
18,( ∃ x Dodec ( a ) → ∃ y Even ( a ) ) ∨ ( ∀ y Large ( y ) ∧ ( Cube ( b ) → Pet ( b ) ) ),"at least one of these holds : \n\t• if there is an element x such that a is a dodecahedron , then there is an element y such that a is even \n\t• all these hold : \n\t• for all y , y is large \n\t• if b is a cube , then b is a pet"
19,¬ ∃ x ∃ x Small ( a ),it is not the case that there is an element x such that there is an element x such that a is small
20,"¬ ∃ x ( SameShape ( a , b ) → SameRow ( c , c ) )",it is not the case that there is an element x such that a is in the same shape as b and c is in the same row as itself
21,∀ x ( Tet ( x ) ∨ Prime ( a ) ) ∨ ∃ x ( Person ( x ) → Student ( a ) ),"for all x , x is a tetrahedron or a is a prime or there is an element x such that a is a student"
22,"∃ x ∀ y Larger ( x , a ) ∧ ∀ y ¬ Pet ( b )","there is an element x such that for all y , x is larger than a and there is an element x such that for all y , b is not a pet"
23,"∃ x ( ( ( SameShape ( x , a ) ∧ Tet ( x ) ) → Adjoins ( x , a ) )","for all x , if x is of the same shape as a, then x is adjacent to a"
24,"∃ x Cube ( x ) ( Person ( a ) → Adjoins ( x , a ) )",there is a cube such that a is a person or x is adjacent to a
