,Formula,Translation
0,"∃ u ( Large ( u ) ∧ Cube ( u ) ∧ RightOf ( b , u ) )","there is an element u such that u is large , u is a cube and b is to the right of u"
1,¬ ∀ z ( Dodec ( z ) → Small ( z ) ),it is not the case that every dodecahedron is small
2,"∀ x ¬ ∃ y ( LeftOf ( y , a ) ∧ Smaller ( y , x ) ∧ LeftOf ( x , b ) )","for all x , it is not the case that there is an element y such that y is to the left of a , y is smaller than x and x is to the left of b"
3,"∀ x ¬ ∃ y ( LeftOf ( x , a ) ∧ Smaller ( x , y ) ∧ LeftOf ( y , b ) )","for all x , it is not the case that there is an element y such that x is to the left of a , x is smaller than y and y is to the left of b"
4,"∀ y ∀ x ( ( Cube ( y ) ∧ FrontOf ( x , y ) ) → Small ( y ) )","for all y , for all x , if y is a cube and x is in front of y , then y is small"
5,"∀ x ( ¬ SameCol ( x , a ) → ( ¬ SameCol ( x , b ) → SameCol ( x , c ) ) )","for all x , if x is not in the same column as a , then if x is not in the same column as b , then x is in the same column as c"
6,"∀ x ( ( Cube ( x ) ∧ Small ( x ) ) → LeftOf ( a , x ) )","for all x , if x is a cube and x is small , then a is to the left of x"
7,( Dodec ( d ) ∧ Small ( d ) ) ∨ ( ( ¬ Dodec ( d ) ∨ ¬ Small ( d ) ) ∧ Small ( a ) ),at least one of these holds : \n\t• d is a dodecahedron and d is small \n\t• all these hold : \n\t• d is not a dodecahedron or d is not small \n\t• a is small
8,Small ( a ) ∨ ( Large ( c ) ∧ Large ( d ) ∧ ¬ Small ( a ) ),"at least one of these holds : \n\t• a is small \n\t• c is large , d is large and a is not small"
9,"¬ ( FrontOf ( d , c ) ∨ FrontOf ( d , c ) ∨ FrontOf ( d , b ) ∨ FrontOf ( c , b ) )","it is not the case that d is in front of c , d is in front of c , d is in front of b or c is in front of b"
10,"( ( SameCol ( a , b ) ∧ Large ( b ) ) ∨ SameCol ( b , b ) ) ∨ ∀ x ∀ x Cube ( x )","at least one of these holds : \n\t• a is in the same column as b and b is large , b is in the same column as itself \n\t• for all x , for all x , x is a cube"
11,"∀ x ( Even ( x ) → Large ( x ) ) ∨ ¬ Adjoins ( a , b )","for all x , if x is even , then x is large or a is not adjacent to b"
12,"∃ x ¬ ∃ x SameCol ( x , a )",there is an element x such that it is not the case that there is an element x such that x is in the same column as a
13,∀ x ∃ x Even ( a ) ∧ ∃ x ¬ Small ( a ),"for all x , there is an element x such that a is even and there is an element x such that a is not small"
14,"∀ x ( Medium ( x ) → SameCol ( a , x ) )","for all x , if x is medium , then a is in the same column as x"
15,"∀ x ∀ y ( Pet ( x ) ∨ BackOf ( a , a ) )","for all x , for all y , x is a pet or a is in back of itself"
16,"LeftOf ( a , b ) ∧ ( ( Person ( a ) → Prime ( b ) ) → ∀ x Student ( x ) )","all these hold : \n\t• a is to the left of b \n\t• if if a is a person , then b is a prime , then for all x , x is a student"
17,"¬ FrontOf ( a , b ) ∧ ( ∃ x Even ( a ) ∧ ( Student ( b ) ∨ Even ( c ) ) )","all these hold : \n\t• a is not in front of b , there is an element x such that a is even \n\t• b is a student or c is even"
18,"¬ ∃ x SameSize ( x , x ) ∧ Cube ( a )",it is not the case that there is an element x such that x is of the same size as itself and a is a cube
19,"∀ x ( ( Small ( x ) → Adjoins ( a , a ) ) ∨ ¬ SameShape ( x , x ) )","for all x , at least one of these holds : \n\t• if x is small , then a is adjacent to itself \n\t• x is not of the same shape as x"
20,"¬ ∃ x ( SameShape ( a , b ) → SameRow ( c , c ) )",it is not the case that there is an element x such that a is in the same shape as b and c is in the same row as itself
21,∀ x ( Tet ( x ) ∨ Prime ( a ) ) ∨ ∃ x ( Person ( x ) → Student ( a ) ),"for all x , x is a tetrahedron or a is a prime or there is an element x such that a is a student"
22,"∃ x ∀ y Larger ( x , a ) ∧ ∀ y ¬ Pet ( b )","there is an element x such that for all y , x is larger than a and there is an element x such that for all y , b is not a pet"
23,"∃ x ( ( ( SameShape ( x , a ) ∧ Tet ( x ) ) → Adjoins ( x , a ) )","for all x , if x is of the same shape as a, then x is adjacent to a"
24,"∃ x Cube ( x ) ( Person ( a ) → Adjoins ( x , a ) )",there is a cube such that a is a person or x is adjacent to a
