,Formula,Translation
0,"∃ x ¬ Adjoins ( x , a )",there is an element x such that x is not adjacent to a
1,"¬ FrontOf ( b , d ) → ( Dodec ( b ) → ( ¬ BackOf ( b , d ) ∧ ¬ FrontOf ( b , d ) ) )","if b is not in front of d , then if b is a dodecahedron , then b is not in back of d and b is not in front of d"
2,"∀ y ∃ x ( Dodec ( y ) → ( Cube ( x ) ∧ SameSize ( x , y ) ) )","for all y , there is an element x such that if y is a dodecahedron , then x is a cube and x is of the same size as y"
3,"SameCol ( a , d ) ∧ SameRow ( d , e ) ∧ SameCol ( e , b )","a is in the same column as d , d is in the same row as e and e is in the same column as b"
4,"∀ x ∃ y ( Cube ( x ) → ( RightOf ( y , x ) ∧ Tet ( y ) ∧ SameRow ( x , y ) ) )","for all x , there is an element y such that if x is a cube , then y is to the right of x , y is a tetrahedron and x is in the same row as y"
5,"∀ x ( ¬ Adjoins ( a , x ) ∧ ¬ Adjoins ( a , b ) ∧ ¬ Adjoins ( a , c ) )","for all x , a is not adjacent to x , a is not adjacent to b and a is not adjacent to c"
6,"∀ x ¬ ∃ y ( Cube ( x ) ∧ RightOf ( x , y ) )","for all x , it is not the case that there is an element y such that x is a cube and x is to the right of y"
7,¬ ∀ y ¬ ( Dodec ( y ) ∧ Small ( y ) ),"it is not the case that for all y , it is not the case that y is a dodecahedron and y is small"
8,"∀ z ( Cube ( z ) → ¬ ( SameCol ( z , a ) ∨ SameCol ( z , b ) ) )","for all cubes z , it is not the case that z is in the same column as a or in the same column as b"
9,"¬ ∀ x ∀ z ( ( Tet ( x ) ∧ Tet ( z ) ) → SameCol ( x , z ) )","it is not the case that for all x , for all z , if x is a tetrahedron and z is a tetrahedron , then x is in the same column as z"
10,"∃ x1 ( Large ( a ) ∧ ( Small ( a ) ∨ SameRow ( b , x1 ) ) )",there is an element x1 such that all these hold : \item a is large \item a is small or b is in the same row as x1
11,"¬ ¬ Medium ( a ) ∧ ( ¬ SameShape ( b , a ) → ∃ x1 Tet ( x1 ) )","all these hold : \item it is not the case that a is not medium \item if b is not of the same shape as a , then there is an element x1 such that x1 is a tetrahedron"
12,∃ x1 ∃ x1 ∃ x2 Cube ( x2 ),there is an element x1 such that there is an element x1 such that there is an element x2 such that x2 is a cube
13,"∀ x1 ( ( FrontOf ( x1 , a ) ∧ Cube ( x1 ) ) ∨ ( Tet ( a ) ∧ Small ( a ) ) )","for all x1 , at least one of these holds : \item x1 is in front of a and x1 is a cube \item a is a tetrahedron and a is small"
14,"( ( LeftOf ( a , b ) ∨ Pet ( a ) ) ∧ ¬ Cube ( a ) ) ∨ ∃ x1 ∃ x1 Adjoins ( x1 , x1 )",all these hold : \item a is to the left of b or a is a pet \item a is not a cube or there is an element x1 such that there is an element x1 such that x1 is adjacent to itself
15,"¬ ( Large ( a ) ∧ Student ( b ) ) ∨ ( ∃ x1 Even ( x1 ) ∨ ( Cube ( a ) → LeftOf ( b , c ) ) )","at least one of these holds : \item it is not the case that a is large and b is a student , there is an element x1 such that x1 is even \item if a is a cube , then b is to the left of c"
16,"¬ ∃ x1 ( SameShape ( x1 , x1 ) → Larger ( a , x1 ) )","it is not the case that there is an element x1 such that if x1 is of the same shape as itself , then a is larger than x1"
17,¬ ¬ ∀ x1 Large ( a ),"it is not the case that it is not the case that for all x1 , a is large"
18,"∀ x1 ( ( Medium ( x1 ) → Student ( a ) ) ∨ ( Large ( a ) ∨ RightOf ( x1 , a ) ) )","for all x1 , at least one of these holds : \item if x1 is medium , then a is a student , a is large \item x1 is to the right of a"
19,∃ x1 ( Student ( a ) ∧ Tet ( x1 ) ) → ∃ x2 ∃ x1 Student ( x1 ),"if there is an element x1 such that a is a student and x1 is a tetrahedron , then there is an element x2 such that there is an element x1 such that x1 is a student"
20,"¬ ∃ x1 ( SameShape ( a , b ) → SameRow ( x2 , x2 ) )",it is not the case that there is an element x1 such that a is in the same shape as b and x2 is in the same row as itself
21,∀ x1 ( Tet ( x1 ) ∨ Prime ( x2 ) ) ∨ ∃ x1 ( Person ( x1 ) → Student ( x2 ) ),"for all x1 , x1 is a tetrahedron or x2 is a prime or there is an element x1 such that x2 is a student"
22,"∃ x1 ∀ x2 Larger ( x1 , a ) ∧ ∀ x2 ¬ Pet ( x3 )","there is an element x1 such that for all x2 , x1 is larger than a and there is an element x1 such that for all x2 , x3 is not a pet"
23,"∃ x1 ( ( ( SameShape ( x1 , a ) ∧ Tet ( x1 ) ) → Adjoins ( x1 , a ) )","for all x1 , if x1 is of the same shape as a, then x1 is adjacent to a"
24,"∃ x1 Cube ( x1 ) ( Person ( a ) → Adjoins ( x1 , a ) )",there is a cube such that a is a person or x1 is adjacent to a
