,Unnamed: 0,Formula,Translation,Correct?,Why incorrect?,Clear?,Fluent?,Post-Edit
0,0,"∀ z ( ( Cube ( z ) ∧ ∃ u FrontOf ( u , z ) ) → Small ( z ) )","for all z , if z is a cube and there is an element u such that u is in front of z , then z is small",Yes,,5,5,
1,1,"∀ v ( ( Dodec ( v ) ∧ ¬ ∃ w RightOf ( w , v ) ) → Small ( v ) )","for all v , if v is a dodecahedron and it is not the case that there is an element w such that w is to the right of v , then v is small",Yes,,5,3,"If v is a dodecahedron and there is no element w to the right of v, then v is small."
2,2,¬ Cube ( a ) → ( Cube ( c ) ∨ ( ¬ Cube ( c ) → Cube ( e ) ) ),"if a is not a cube , then at least one of these holds : \item c is a cube \item if c is not a cube , then e is a cube",Yes,,4,3,"If a is not a cube, then c is a cube. If c is not a cube, then e is a cube."
3,3,"∀ x ( ∀ y ( Dodec ( x ) ∧ ¬ RightOf ( y , x ) ) → Small ( x ) )","for all x , if for all y , x is a dodecahedron and y is not to the right of x , then x is small",Yes,,4,2,"If x is a dodecahedron and not to the left of y, x is small."
4,4,"¬ ∃ y ( ¬ Tet ( y ) ∧ ¬ ∃ x FrontOf ( x , y ) )",it is not the case that there is an element y such that y is not a tetrahedron and it is not the case that there is an element x such that x is in front of y,No,This translation needs an extra parenthesis after Tet (y),4,4,
5,5,"¬ ∃ x ( ¬ ∃ y FrontOf ( y , x ) ∧ ¬ Tet ( x ) )",it is not the case that there is an element x such that it is not the case that there is an element y such that y is in front of x and x is not a tetrahedron,Yes,,4,4,
6,6,"∀ x ( ( Dodec ( x ) ∧ ¬ ∃ y RightOf ( x , y ) ) → ∃ z LeftOf ( x , z ) )","for all x , if x is a dodecahedron and it is not the case that there is an element y such that x is to the right of y , then there is an element z such that x is to the left of z",Yes,,5,5,
7,7,"∀ y ∀ x ( ( Dodec ( y ) ∧ Tet ( x ) ) → FrontOf ( x , y ) )","for all y , for all x , if y is a dodecahedron and x is a tetrahedron , then x is in front of y",Yes,,5,5,
8,8,"∀ y ∀ z ( ( Cube ( y ) ∧ Dodec ( z ) ∧ BackOf ( y , z ) ) → Smaller ( y , z ) )","for all y , for all z , if y is a cube , z is a dodecahedron and y is in back of z , then y is smaller than z",Yes,,5,5,
9,9,"¬ ( Cube ( a ) ∧ Cube ( d ) ) ∨ LeftOf ( a , d ) ∨ LeftOf ( d , a )","it is not the case that a is a cube and d is a cube , a is to the left of d or d is to the left of a",Yes,,5,5,
