,Unnamed: 0,Condition,Formula,Translation,Correct?,Clear?,Fluent?,Post-Edit
0,0,GGC,"Larger ( d , b ) ∧ Larger ( e , b ) ∧ FrontOf ( b , e ) ∧ FrontOf ( b , d )","d is larger than b , e is larger than b , b is in front of e and b is in front of d",Yes,5,4,"Both d and e are larger than b, and b is in front of both e and d"
1,1,GGC,"∀ y ( ( Dodec ( y ) ∧ ¬ ∃ z RightOf ( z , y ) ) → Small ( y ) )","for all y , if y is a dodecahedron and it is not the case that there is an element z such that z is to the right of y , then y is small",Yes,4,2,Every dodecahedron that has nothing to the right of it is small.
2,2,GGC,"¬ SameCol ( e , d ) ∧ ¬ SameCol ( e , c ) ∧ ¬ SameCol ( e , d )","e is not in the same column as d , e is not in the same column as c and e is not in the same column as d",Yes,4,1,"e is neither in the same column as d, nor in the same column as c"
3,3,GGC,"∀ x ∀ y ( ( FrontOf ( x , y ) ∧ Cube ( x ) ) → Small ( x ) )","for all x , for all y , if x is in front of y and x is a cube , then x is small",Yes,4,2,Every cube that is in front of something is small.
4,4,GGC,"∀ x ( ( Cube ( x ) → RightOf ( x , a ) ) ∧ ( Cube ( x ) → LeftOf ( x , b ) ) )","for all x , all these hold : \n\t• if x is a cube , then x is to the right of a \n\t• if x is a cube , then x is to the left of b",Yes,5,1,Every cube is right of a and left of b
5,5,GGC,"¬ ( Tet ( b ) ∨ Tet ( d ) ) → ( LeftOf ( d , b ) ∨ LeftOf ( b , d ) )","if it is not the case that b is a tetrahedron or d is a tetrahedron , then d is to the left of b or b is to the left of d",No,3,3,"If neither b nor d is a tetrahedon, then at least one of d and b is left of the other."
6,6,GGC,"∀ x ∀ y ( ( Cube ( x ) ∧ Tet ( y ) ) → RightOf ( y , x ) )","for all x , for all y , if x is a cube and y is a tetrahedron , then y is to the right of x",Yes,4,2,"for every cube x and tetrahedon y, y is to the right of x."
7,7,GGC,"¬ FrontOf ( a , d ) → ¬ Tet ( a )","if a is not in front of d , then a is not a tetrahedron",Yes,5,5,
8,8,GGC,¬ ∃ y ( Medium ( y ) ∧ Cube ( y ) ),it is not the case that there is an element y such that y is medium and y is a cube,Yes,5,2,There does not exist a medium cube.
9,9,GGC,"¬ ∀ x ∀ y ( ( Tet ( x ) ∧ Tet ( y ) ) → ( SameCol ( x , y ) ∧ SameCol ( y , x ) ) )","it is not the case that for all x , for all y , if x is a tetrahedron and y is a tetrahedron , then x is in the same column as y and y is in the same column as x",Yes,4,3,
10,10,RG,"∀ x ( ( SameSize ( x , a ) ∧ FrontOf ( a , a ) ) ∨ ¬ Pet ( x ) )","for all x , at least one of these holds : \n\t• x is of the same size as a and a is in front of itself \n\t• x is not a pet",Yes,5,2,"Everything is either not a pet or the same size as a while a is in front of itself, or both."
11,11,RG,"∃ x ∀ y ( Pet ( y ) ∧ BackOf ( a , x ) )","there is an element x such that for all y , y is a pet and a is in back of x",Yes,4,2,"There is an element x such that everything is a pet, and a is behind x"
12,12,RG,"∃ x ( Cube ( a ) ∨ ∀ y FrontOf ( a , b ) )","there is an element x such that a is a cube or for all y , a is in front of b",No,2,2,"There is a situation in which a is a cube, or a is in front of everything, or both"
13,13,RG,"¬ ( ( BackOf ( a , a ) ∧ Medium ( b ) ) ∨ ( Medium ( c ) ∧ SameCol ( c , d ) ) )",it is not the case that at least one of these holds : \n\t• a is in back of itself and b is medium \n\t• c is medium and in the same column as d,Yes,5,2,
14,14,RG,"∃ x ( Student ( x ) → Even ( x ) ) → ∀ x ( Pet ( a ) ∨ SameCol ( x , x ) )","if there is an element x such that if x is a student , then x is even , then for all x , a is a pet or x is in the same column as itself",No,3,2,"If there is an even student, every x is either in the same column of itself, or a is a pet, or both."
15,15,RG,¬ ( ∀ x Prime ( a ) ∧ ∀ y Tet ( y ) ),"it is not the case that for all x , a is a prime and for all y , y is a tetrahedron",Yes,4,2,"There is a situation in which a is not prime or there exists something that is not a tetrahedron, or both"
