,Unnamed: 0,Condition,Formula,Translation,Correct?,Clear?,Fluent?,Post-Edit
0,0,GGC,"∀ x ( ¬ ∃ y ( Dodec ( x ) → RightOf ( y , x ) ) → ∃ z RightOf ( x , z ) )","for all x , if it is not the case that there is an element y such that if x is a dodecahedron , then y is to the right of x , then there is an element z such that x is to the right of z",Yes,2,2,
1,1,GGC,"¬ ∃ y ∃ x ( Cube ( x ) ∧ Cube ( y ) ∧ RightOf ( y , x ) )","it is not the case that there is an element y such that there is an element x such that x is a cube , y is a cube and y is to the right of x",Yes,4,4,"it is not the case that there is an element y such that there is an element x such that x is a cube , y is a cube, and y is to the right of x"
2,2,GGC,"∀ x ∀ y ( ( Cube ( x ) ∧ SameSize ( x , y ) ) → ¬ Tet ( y ) )","for all x , for all y , if x is a cube and x is of the same size as y , then y is not a tetrahedron",Yes,5,2,
3,3,GGC,"∃ x ( RightOf ( b , x ) ∧ Cube ( x ) ∧ Large ( x ) )","there is an element x such that b is to the right of x , x is a cube and x is large",Yes,4,2,there is an element large cube x such that b is to the right of x 
4,4,GGC,"∀ x ¬ ( Adjoins ( a , x ) ∨ Adjoins ( a , b ) )","for all x , it is not the case that a is adjacent to x or adjacent to b",Yes,5,5,
5,5,GGC,"∀ x ( Cube ( x ) → ∃ y ( Tet ( y ) ∧ LeftOf ( x , y ) ∧ SameSize ( y , x ) ) )","for all cubes x , there is an element y such that y is a tetrahedron , x is to the left of y and y is of the same size as x",Yes,5,4,
6,6,GGC,"∀ u ∃ x ( Tet ( u ) → BackOf ( u , x ) )","for all u , there is an element x such that if u is a tetrahedron , then u is in back of x",Yes,5,5,
7,7,GGC,∀ y ( Dodec ( y ) → ( Large ( y ) ∨ Small ( y ) ∨ Medium ( y ) ) ),"every dodecahedron is large , small or medium",Yes,5,5,
8,8,GGC,∀ x ∃ x ( Prime ( x ) ∧ ¬ Even ( x ) ),"for all x , there is a prime x such that x is not even",No,4,4,"for all x , there is an x such that x is prime and x is not even"
9,9,GGC,"( Larger ( c , e ) ∨ SameSize ( c , e ) ) ∧ ( Larger ( c , d ) ∨ SameSize ( c , d ) )",c is larger than e or of the same size as e and larger than d or of the same size as d,Yes,5,5,
10,10,RG,¬ ∃ x ∃ x Cube ( a ),it is not the case that there is an element x such that there is an element x such that a is a cube,No,1,1,
11,11,RG,"Small ( a ) → ¬ ( Adjoins ( a , a ) → Large ( b ) )","if a is small , then it is not the case that if a is adjacent to itself , then b is large",Yes,5,4,
12,12,RG,"∀ x ¬ Small ( x ) → ( ∃ y Smaller ( y , y ) → ( Person ( a ) ∧ Tet ( a ) ) )","if for all x , x is not small , then if there is an element y such that y is smaller than itself , then a is a person and a is a tetrahedron",Yes,5,2,
13,13,RG,"( ∃ x Pet ( a ) ∧ Person ( a ) ) → ∀ x ( SameSize ( a , x ) → SameRow ( b , x ) )","if there is an element x such that a is a pet and a is a person , then for all x , if a is of the same size as x , then b is in the same row as x",Yes,4,3,
14,14,RG,"∃ x ( ( Smaller ( a , x ) ∧ Even ( b ) ) ∧ ∀ x Medium ( a ) )","there is an element x such that a is smaller than x , b is even and for all x , a is medium",Yes,5,3,
15,15,RG,"∀ x ∀ x Smaller ( a , a ) ∨ ( ∀ x Student ( x ) ∧ ( RightOf ( b , c ) ∧ Small ( a ) ) )","at least one of these holds : \n\t• for all x , for all x , a is smaller than itself \n\t• for all x , x is a student , b is to the right of c and a is small",Yes,4,3,
16,16,RG,"¬ ( SameShape ( a , a ) ∧ Medium ( a ) ) ∧ ∃ x ( RightOf ( x , a ) → Pet ( b ) )","it is not the case that a is of the same shape as itself and a is medium and there is an element x such that if x is to the right of a , then b is a pet",Yes,4,2,
17,17,RG,∃ x ( ∃ x Cube ( a ) ∧ ¬ Medium ( a ) ),there is an element x such that there is an element x such that a is a cube and a is not medium,Yes,4,2,
18,18,RG,( ( Small ( a ) ∧ Tet ( b ) ) ∧ ∀ x Small ( a ) ) → ( ( Small ( b ) ∧ Tet ( b ) ) ∨ Student ( b ) ),"if a is small , b is a tetrahedron and for all x , a is small , then at least one of these holds : \n\t• b is small and b is a tetrahedron \n\t• b is a student",Yes,4,3,
19,19,RG,Large ( a ) → ¬ ( Small ( a ) ∧ Person ( b ) ),"if a is large , then it is not the case that a is small and b is a person",Yes,5,4,
20,20,Filler,"¬ ∃ x ( SameShape ( a , b ) → SameRow ( c , c ) )",it is not the case that there is an element x such that a is in the same shape as b and c is in the same row as itself,No,4,4,it is not the case that there is an element x such that if a is in the same shape as b then c is in the same row as itself
21,21,Filler,∀ x ( Tet ( x ) ∨ Prime ( a ) ) ∨ ∃ x ( Person ( x ) → Student ( a ) ),"for all x , x is a tetrahedron or a is a prime or there is an element x such that a is a student",Yes,5,4,
22,22,Filler,"∃ x ∀ y Larger ( x , a ) ∧ ∀ y ¬ Pet ( b )","there is an element x such that for all y , x is larger than a and there is an element x such that for all y , b is not a pet",No,3,2,"there is an element x such that for all y , x is larger than a, and for all y it is the case that, b is not a pet"
23,23,Filler,"∃ x ( ( ( SameShape ( x , a ) ∧ Tet ( x ) ) → Adjoins ( x , a ) )","for all x , if x is of the same shape as a, then x is adjacent to a",No,5,5,"there exists an x such that if x is of the same shape as a and x is a tetrahedron, then x is adjacent to a"
24,24,Filler,"∃ x Cube ( x ) ( Person ( a ) → Adjoins ( x , a ) )",there is a cube such that a is a person or x is adjacent to a,Yes,3,5,
