,Unnamed: 0,Condition,Formula,Translation,Correct?,Clear?,Fluent?,Post-Edit
0,0,GGC,"¬ ∀ x ( Adjoins ( a , x ) ∧ Adjoins ( a , b ) )","it is not the case that for all x , a is adjacent to x and adjacent to b",Yes,4,1,"It is not the case that for all x, a is adjacent to x and b"
1,1,GGC,"BackOf ( d , b ) ∧ BackOf ( e , b ) ∧ BackOf ( d , b ) ∧ BackOf ( e , b )","d , e , d and e are in back of b",Yes,5,4,"d, e, d and e are in the back of b"
2,2,GGC,"∀ w ( Cube ( w ) → ¬ ( SameCol ( w , a ) ∨ SameCol ( w , b ) ) )","for all cubes w , it is not the case that w is in the same column as a or in the same column as b",Yes,5,5,
3,3,GGC,∃ x Tet ( x ) ∧ ∃ x Cube ( x ) ∧ ∀ x ( Tet ( x ) ∨ Cube ( x ) ),"there is an element x such that x is a tetrahedron , there is an element x such that x is a cube and for all x , x is a tetrahedron or x is a cube",Yes,4,2,There is an object that is a tetrahedron and there is an object that is a cube and for all objects it holds that it is a tetrahedron or a cube
4,4,GGC,∀ u ( Dodec ( u ) → ( Small ( u ) ∨ Medium ( u ) ∨ Large ( u ) ) ),"every dodecahedron is small , medium or large",Yes,5,5,
5,5,GGC,"( ¬ FrontOf ( e , d ) → Tet ( e ) ) ∧ ( ¬ FrontOf ( e , d ) → Large ( e ) )","all these hold : \n\t• if e is not in front of d , then e is a tetrahedron \n\t• if e is not in front of d , then e is large",Yes,5,4,
6,6,GGC,"∃ x ( ( Cube ( x ) ∧ Larger ( a , x ) ) → ∀ y ( Tet ( y ) → Smaller ( x , y ) ) )","there is an element x such that if x is a cube and a is larger than x , then x is smaller than every tetrahedron",No,4,3,"There is an element x such that if both x is a cube and a is larger than x, then for all elements y, if y is a tetrahedron, then x is smaller than y"
7,7,GGC,"¬ Dodec ( b ) ∨ ( BackOf ( b , d ) → FrontOf ( b , d ) )","at least one of these holds : \n\t• b is not a dodecahedron \n\t• if b is in back of d , then b is in front of d",Yes,5,4,
8,8,GGC,"Larger ( e , b ) ∧ Larger ( d , b ) ∧ FrontOf ( b , d ) ∧ FrontOf ( b , e )","e is larger than b , d is larger than b , b is in front of d and b is in front of e",Yes,5,5,
9,9,GGC,( Cube ( b ) ∧ ¬ Tet ( c ) ) ∨ Tet ( c ),at least one of these holds : \n\t• b is a cube and c is not a tetrahedron \n\t• c is a tetrahedron,Yes,5,4,
10,10,RG,∃ x ( ∃ y Even ( a ) ∨ ∃ y Tet ( y ) ),there is an element x such that there is an element y such that a is even or there is an element y such that y is a tetrahedron,Yes,4,2,There is an element x such that there is something else so that a is even or that something is tetrahedron
11,11,RG,"∃ x ( ¬ SameRow ( a , a ) → ∀ y SameRow ( a , a ) )","there is an element x such that if a is not in the same row as a , then for all y , a is in the same row as itself",Yes,4,4,
12,12,RG,"∀ x ( Medium ( a ) → Medium ( x ) ) ∨ ∃ x ( Larger ( a , x ) ∧ Medium ( x ) )","for all x , if a is medium , then x is medium or there is an element x such that a is larger than x and x is medium",Yes,3,3,"Either for all elements x, if a is medium, then x is medium or there is an element x such that it is smaller than a and it is a medium"
13,13,RG,"¬ ( SameRow ( a , b ) ∧ Dodec ( b ) ) → ∃ x ( Person ( a ) → Even ( x ) )","if it is not the case that a is in the same row as b and b is a dodecahedron , then there is an element x such that if a is a person , then x is even",Yes,3,4,"If it is not the case that both a is in the same row as b and b is a dodecahedron, then there is an element x such that if a is a person, then x is even"
