,Unnamed: 0,Condition,Formula,Translation,Correct?,Clear?,Fluent?,Post-Edit
0,0,GGC,"∀ z ( ( Cube ( z ) ∧ ∃ u FrontOf ( u , z ) ) → Small ( z ) )","for all z , if z is a cube and there is an element u such that u is in front of z , then z is small",Yes,5,5,"for all z , if z is a cube and there is an u in front of z , then z is small"
1,1,GGC,"∀ v ( ( Dodec ( v ) ∧ ¬ ∃ w RightOf ( w , v ) ) → Small ( v ) )","for all v , if v is a dodecahedron and it is not the case that there is an element w such that w is to the right of v , then v is small",Yes,4,4,"for all v, if v is a dodecahedron and there is no element w is to the right of v , then v is small"
2,2,GGC,¬ Cube ( a ) → ( Cube ( c ) ∨ ( ¬ Cube ( c ) → Cube ( e ) ) ),"if a is not a cube , then at least one of these holds : \n\t• c is a cube \n\t• if c is not a cube , then e is a cube",Yes,5,3,"if a is not a cube, then either c is a cube or (when that doesn't hold) e is a cube"
3,3,GGC,"∀ x ( ∀ y ( Dodec ( x ) ∧ ¬ RightOf ( y , x ) ) → Small ( x ) )","for all x , if for all y , x is a dodecahedron and y is not to the right of x , then x is small",Yes,1,1,every x is small as long as it is a dodecahedron and there is nothing to the right side of it.
4,4,GGC,"¬ ∃ y ( ¬ Tet ( y ) ∧ ¬ ∃ x FrontOf ( x , y ) )",it is not the case that there is an element y such that y is not a tetrahedron and it is not the case that there is an element x such that x is in front of y,Yes,4,3,there is no y such that it is not a thetrahedron while there is no element in front of it
5,5,GGC,"¬ ∃ x ( ¬ ∃ y FrontOf ( y , x ) ∧ ¬ Tet ( x ) )",it is not the case that there is an element x such that it is not the case that there is an element y such that y is in front of x and x is not a tetrahedron,Yes,2,1,there is no x that is not a tetrahedron while there is no element in front of it
6,6,GGC,"∀ x ( ( Dodec ( x ) ∧ ¬ ∃ y RightOf ( x , y ) ) → ∃ z LeftOf ( x , z ) )","for all x , if x is a dodecahedron and it is not the case that there is an element y such that x is to the right of y , then there is an element z such that x is to the left of z",Yes,5,4,"for all x , if x is a dodecahedron and there is nothing to the left side of x , then there is at z at the right side of x"
7,7,GGC,"∀ y ∀ x ( ( Dodec ( y ) ∧ Tet ( x ) ) → FrontOf ( x , y ) )","for all y , for all x , if y is a dodecahedron and x is a tetrahedron , then x is in front of y",Yes,4,3,"for every x's and y's it holds that: if y is a dodecahedron and x is a tetrahedron, then x is in front of y"
8,8,GGC,"∀ y ∀ z ( ( Cube ( y ) ∧ Dodec ( z ) ∧ BackOf ( y , z ) ) → Smaller ( y , z ) )","for all y , for all z , if y is a cube , z is a dodecahedron and y is in back of z , then y is smaller than z",Yes,3,3,"for all y , for all z , y is smaller than z if: y is a cube , z is a dodecahedron and y is in back of z"
9,9,GGC,"¬ ( Cube ( a ) ∧ Cube ( d ) ) ∨ LeftOf ( a , d ) ∨ LeftOf ( d , a )","it is not the case that a is a cube and d is a cube , a is to the left of d or d is to the left of a",No,1,2,at least one of these hold: - it is not the case that a and b are cubes - a is to the left of d or the other way around
10,10,RG,"Student ( a ) ∨ ( Medium ( b ) ∨ ∀ x SameSize ( x , x ) )","a is a student , b is medium or for all x , x is of the same size as itself",No,3,3,or a is a student or it is the case that either b is medium or every x is the same size as itself
11,11,RG,"∀ x ¬ ( LeftOf ( x , x ) → LeftOf ( a , b ) )","for all x , it is not the case that if x is to the left of itself , then a is to the left of b",Yes,4,4,
12,12,RG,"Adjoins ( a , b ) ∧ ( ( SameRow ( a , b ) ∧ Person ( b ) ) → ( Dodec ( c ) ∧ RightOf ( c , a ) ) )","all these hold : \n\t• a is adjacent to b \n\t• if a is in the same row as b and b is a person , then c is a dodecahedron and c is to the right of a",Yes,4,4,"all these hold :   • a is adjacent to b   • if a is in the same row as b and b is a person , then c is a dodecahedron is to the right of a"
13,13,RG,"∀ x RightOf ( a , a )","for all x , a is to the right of itself",Yes,4,4,(it just doesn't make sense)
14,14,RG,"∀ x ∀ x ∃ x SameSize ( x , a )","for all x , for all x , there is an element x such that x is of the same size as a",Yes,4,2,"(there is a double x, but not an a introduced?) every x has the same size as a"
15,15,RG,"∃ x ∀ x ¬ Larger ( x , x )","there is an element x such that for all x , x is not larger than x",Yes,5,4,for all x's it is not larger than itself
16,16,RG,"¬ ( Adjoins ( a , b ) → Adjoins ( a , c ) ) ∨ ¬ ( Student ( c ) ∧ Medium ( a ) )","it is not the case that if a is adjacent to b , then a is adjacent to c or it is not the case that c is a student and a is medium",Yes,5,5,
17,17,RG,Medium ( a ) ∨ ( ( Small ( b ) → Tet ( b ) ) → ¬ Person ( c ) ),"at least one of these holds : \n\t• a is medium \n\t• if if b is small , then b is a tetrahedron , then c is not a person",Yes,4,3,"at least one of these holds :   • a is medium   • if b is small , it is a tetrahedron , which means that c is not a person"
18,18,RG,"∀ x ∃ x SameSize ( x , a )","for all x , there is an element x such that x is of the same size as a",Yes,5,5,there is always an x that is the same size as a
19,19,RG,"( ∃ x FrontOf ( a , x ) → ( Large ( a ) ∧ SameSize ( a , b ) ) ) ∨ Smaller ( c , c )","at least one of these holds : \n\t• if there is an element x such that a is in front of x , then a is large and of the same size as b \n\t• c is smaller than itself",Yes,4,4,
20,20,Filler,"¬ ∃ x ( SameShape ( a , b ) → SameRow ( c , c ) )",it is not the case that there is an element x such that a is in the same shape as b and c is in the same row as itself,No,1,2,"there is no x for: if a has the same shape as b, then c would be in the same row as c"
21,21,Filler,∀ x ( Tet ( x ) ∨ Prime ( a ) ) ∨ ∃ x ( Person ( x ) → Student ( a ) ),"for all x , x is a tetrahedron or a is a prime or there is an element x such that a is a student",No,3,3,"for all x at least one of these hold: - x is a tetrehedron of a is a prime - there is an x such that if it is a person, a is a student"
22,22,Filler,"∃ x ∀ y Larger ( x , a ) ∧ ∀ y ¬ Pet ( b )","there is an element x such that for all y , x is larger than a and there is an element x such that for all y , b is not a pet",No,2,2,there is an x for every y where x is larger than a and (for all y) there is no pet b
